Name	Path	IsPreLoad	Layer	Desc	BlackBg	AutoHideInFightMode	IsStay	OpenSound	CloseSound	OpenAni	CloseAni	BackBtnClose
Reload	UI/Prefabs/Debug/Reload.prefab		LAYER_DEBUG	Tải lại giao diện scripts								
FactionBattlePanel	UI/Prefabs/Calendar/FactionAthleticsPanel.prefab		LAYER_NORMAL	Giao diện Thi Đấu Môn Phái	1					NormalOpen	NormalClose	1
FactionReportPanel	UI/Prefabs/Calendar/FactionReport.prefab		LAYER_NORMAL	Nút đóng Thi Đấu Môn Phái						NormalOpen	NormalClose	
EverydayTargetAwardTip	UI/Prefabs/Calendar/CalendarAwardTipPanel.prefab		LAYER_NORMAL	Tip thưởng mục tiêu ngày								1
FactionBattleRankEffect	UI/Prefabs/Calendar/FactionAthleticsRankingPanel.prefab		LAYER_INFO	Hiệu ứng phân cấp Thi Đấu Môn Phái								
FieldPracticePanel	UI/Prefabs/Field/FieldPracticePanel.prefab		LAYER_NORMAL	Tu luyện	1					NormalOpen	NormalClose	1
AuctionPanel	UI/Prefabs/transaction/TransactionPanel.prefab		LAYER_NORMAL	Giao diện Đấu Giá	1					NormalOpen	NormalClose	1
AuctionRecordPanel	UI/Prefabs/Family/AuctionRecordPanel.prefab		LAYER_NORMAL	Nhật ký	1					NormalOpen	NormalClose	1
LoginAwardsPanel	UI/Prefabs/WelfareActivities/NewServerReward/LoginAwardsPanel.prefab		LAYER_NORMAL	Đăng nhập nhận thưởng	1					NormalOpen	NormalClose	1
TaskFinish	UI/Prefabs/Task/TaskPanel.prefab		LAYER_NORMAL	UI thưởng nhiệm vụ								1
MarketStallPanel	UI/Prefabs/transaction/StallPanel.prefab		LAYER_NORMAL	Giao diện Bày Bán	1					NormalOpen	NormalClose	1
MarketStallBuyPanel	UI/Prefabs/transaction/ItemsPurchasePanel.prefab		LAYER_NORMAL	Mua từ Bày Bán						NormalOpen	NormalClose	1
MarketStallSellPanel	UI/Prefabs/transaction/ItemsSalePanel.prefab		LAYER_NORMAL	Bán từ Bày Bán						NormalOpen	NormalClose	1
ItemSellPanel	UI/Prefabs/transaction/ItemsSellPanel.prefab		LAYER_NORMAL	Bán vật phẩm						NormalOpen	NormalClose	1
BgBlackAll	UI/Prefabs/HomeScreen/BgBlackAll.prefab		LAYER_HOME	Nền đen								
CreateNameInput	UI/Prefabs/Login/NamePanel.prefab		LAYER_POPUP	Nhập tên nhân vật	1							
InterludeDescribePanel	UI/Prefabs/Login/InterludeDescribePanel.prefab		LAYER_NORMAL	Giới thiệu ban đầu						InterludeDescribe	InterludeDescribeClose	
KinTrainMatPanel	UI/Prefabs/NewFamily/FamilyTestPanel.prefab		LAYER_NORMAL	Thí Luyện Bang Hội Xe Vật Tư ui	1					NormalOpen	NormalClose	1
SurveyPanel	UI/Prefabs/SurveryPanel.prefab		LAYER_NORMAL	Câu hỏi khảo sát	1					NormalOpen	NormalClose	1
BossReferral	UI/Prefabs/Fuben/BossDebutPanel.prefab		LAYER_NORMAL	Giới thiệu BOSS ải								
StoryBlackBg	UI/Prefabs/Fuben/BlackScreenPlotPanel.prefab		LAYER_NORMAL	Cốt truyện màn hình đen								
LingJueFengLayerPanel	UI/Prefabs/Fuben/LingJueFengLayerPanel.prefab		LAYER_INFO	Hiệu ứng UI Lăng Tuyệt Phong								
TaskStoryBlackPanel	UI/Prefabs/Task/TaskStoryPanel.prefab		LAYER_NORMAL	Chat nhiệm vụ giao diện tối						TaskStoryPanelOpen	TaskStoryPanelClose	
SwornFriendsConnectPanel	UI/Prefabs/Task/SwornFriendsConnectPanel.prefab		LAYER_NORMAL	Đối thoại kết bái						TaskStoryPanelOpen	TaskStoryPanelClose	
SwornFriendsTitlePanel	UI/Prefabs/SocialNew/SwornPanel.prefab 		LAYER_NORMAL	Danh hiệu chính kết bái						NormalOpen	NormalClose	
SwornFriendsPersonalTitlePanel	UI/Prefabs/SocialNew/PersonalSwornPanel.prefab 		LAYER_NORMAL	Danh hiệu kết bái cá nhân						NormalOpen	NormalClose	
SwornFriendsConnected	UI/Prefabs/SocialNew/SwornEffectsPanel.prefab		LAYER_POPUP	Giao diện kết bái thành công						NormalOpen		
NearbyTeamPanel	UI/Prefabs/Team/NearTeamPanel.prefab		LAYER_NORMAL	Giao diện xem đội gần						NormalOpen	NormalClose	1
PartnerArrayPanel	UI/Prefabs/Companion/CompanionArrayPanel.prefab		LAYER_NORMAL	Giao diện bày trận Đồng Hành xuất chiến	1							1
BossLeaderOutputPanel	UI/Prefabs/Calendar/BossLeaderOutputPanel.prefab		LAYER_NORMAL	Sát thương danh tướng								1
PartnerSelectSkillBook	UI/Prefabs/Companion/CompanionSkillBookPanel.prefab		LAYER_POPUP	UI chọn sách kỹ năng Đồng Hành						NormalOpen		1
PartnerStoryPanel	UI/Prefabs/Companion/CompanionStoryPanel.prefab		LAYER_POPUP	UI cốt truyện Đồng Hành truyền kỳ						NormalOpen		1
PartnerSelectCoverSkill	UI/Prefabs/Companion/CompanionSkillBookCoverPanel.prefab		LAYER_NORMAL	UI chọn kỹ năng thay thế Đồng Hành						NormalOpen		1
RedBagPanel	UI/Prefabs/NewFamily/FamilyRedPaperPanel.prefab		LAYER_NORMAL	Lì Xì	1					NormalOpen	NormalClose	1
RedBagDetailPanel	UI/Prefabs/NewFamily/GetRedPaperPanel.prefab		LAYER_POPUP	Lì Xì						NormalOpen	NormalClose	1
ChapterPanel	UI/Prefabs/Fuben/ChapterPanel.prefab		LAYER_NORMAL	Chương-Biểu Hiện	1					ChapterPanel		
GiftSystem	UI/Prefabs/SocialNew/GiftSystemPanel.prefab		LAYER_NORMAL	Quà	1					NormalOpen	NormalClose	1
GiftPlay	UI/Prefabs/SocialNew/GiftPlayPanel.prefab		LAYER_NORMAL	Hiệu ứng quà						NormalOpen	NormalClose	
PartnerProtential	UI/Prefabs/Companion/CompanionQualityUpPanel.prefab		LAYER_NORMAL	UI Tư Chất Đơn Đồng Hành dùng								1
ItemSelectPanel	UI/Prefabs/Tips&notice/ItemSelectPanel.prefab		LAYER_POPUP	UI đạo cụ lựa chọn								1
PartnerSkillTips	UI/Prefabs/Companion/CompanionSkillTipPanel.prefab		LAYER_POPUP	Giao diện hiện kỹ năng chi tiết	1					NormalOpen	NormalClose	1
PartnerReInitPanel	UI/Prefabs/Companion/CompanionWashingPanel.prefab		LAYER_NORMAL	Tẩy tủy Đồng Hành	1					NormalOpen	NormalClose	
EquipMakerPanel	UI/Prefabs/NewFamily/EquipMakerPanel.prefab		LAYER_NORMAL	Binh Giáp	1					NormalOpen	NormalClose	1
MessageBoxBig	UI/Prefabs/Tips&notice/MessageBoxBig.prefab		LAYER_POPUP	Cửa sổ thường (Lớn)				8002	8003	NormalOpen		
AsyncPartner	UI/Prefabs/Yibuzhandou/AsyncPanel.prefab		LAYER_HOME	Danh sách Đồng Hành bất thường								1
TeamBattleResultPanel	UI/Prefabs/Calendar/StarTowerAccountFinal.prefab		LAYER_NORMAL	Tổng kết Thông Thiên Tháp	1					NormalOpen	NormalClose	1
FlowerBoxPlay	UI/Prefabs/SocialNew/GiftPlayAllPanel.prefab		LAYER_NORMAL	99 Cỏ May Mắn Hoa Hồng						NormalOpen	NormalClose	
ShowSkillPreView	UI/Prefabs/Login/ShowSkillPreView.prefab		LAYER_HOME	Đăng nhập hiện kỹ năng								
HomeScreenVoice	UI/Prefabs/HomeScreen/HomeScreenVoice.prefab		LAYER_HOME	Giao diện chính-Voice								
TrialPanel	UI/Prefabs/Calendar/TrialPanel.prefab		LAYER_NORMAL	Khiêu chiến cốt truyện	1							1
FiveElements	UI/Prefabs/FiveElements.prefab		LAYER_NORMAL	Quan hệ Ngũ Hành	1							
SupplementBox	UI/Prefabs/WelfareActivities/RewardBackPanel.prefab		LAYER_NORMAL	Cửa sổ nhận bù								1
PrivilegePanel	UI/Prefabs/Role/PrivilegePanel.prefab		LAYER_NORMAL	Quyền đăng nhập						NormalOpen		1
NewInformationPanel	UI/Prefabs/Calendar/NewInformationPanel.prefab		LAYER_NORMAL	Tin mới	1					NormalOpen	NormalClose	1
HomeScreenCommunity	UI/Prefabs/HomeScreen/HomeScreenCommunity.prefab		LAYER_NORMAL	Giao diện chính-Cộng Đồng						NormalOpen		1
SharePanel	UI/Prefabs/SharePanel.prefab		LAYER_POPUP	Giao diện chia sẻ						NormalOpen		1
ShowOffPanel	UI/Prefabs/ShowOffPanel.prefab		LAYER_NORMAL	Chia sẻ chi tiết						NormalOpen		1
FactionMonkeyPanel	UI/Prefabs/Calendar/ElectionPanel.prefab		LAYER_NORMAL	Môn Phái Đại Sư Huynh						NormalOpen	NormalClose	1
PartnerGradeLevelup	UI/Prefabs/Companion/CompanionPotentialUpPanel.prefab		LAYER_POPUP	Hiển thị đột phá Đồng Hành								
DomainBattleReport	UI/Prefabs/NewFamily/TerritoryBattlefieldPanel.prefab 		LAYER_NORMAL	Chiến báo	1					NormalOpen	NormalClose	1
StoneTipsPanel	UI/Prefabs/Tips&notice/BigItemTips2.prefab		LAYER_POPUP	Giao diện thông tin Đá Hồn						NormalOpen		1
DomainBattleTip	UI/Prefabs/NewFamily/TerritoryTipPanel.prefab		LAYER_NORMAL	Gợi ý lãnh thổ						NormalOpen	NormalClose	1
DomainBattleHomeInfo	UI/Prefabs/NewFamily/TerritoryInfoPanel.prefab		LAYER_HOME	Giao diện chính Lãnh Thổ Chiến								1
CrossDomainBattleInfo	UI/Prefabs/NewFamily/TerritoryInfoPanel2.prefab		LAYER_HOME	Giao diện thông tin Lãnh Thổ Chiến Liên SV								
WaiyiPreview	UI/Prefabs/Role/DressColour.prefab		LAYER_NORMAL	Xem trước nhuộm màu ngoại trang	1					NormalOpen		1
WhiteTigerFubenEntryList	UI/Prefabs/Calendar/BaihutangEnterPanel.prefab		LAYER_NORMAL									
LeavePanel	UI/Prefabs/LeavePanel.prefab		LAYER_HOME	Thoát giao diện								
TeamMatchPanel	UI/Prefabs/Team/TeamMatchingPanel.prefab		LAYER_NORMAL	Giao diện Ghép đội						NormalOpen		1
GMListPanel	UI/Prefabs/Debug/GMList.prefab		LAYER_NORMAL	Giao diện GM						NormalOpen	NormalClose	
KinChangeName	UI/Prefabs/NewFamily/FamilyChangeNamePanel.prefab		LAYER_NORMAL	Sửa tên Bang Hội						NormalOpen		1
CardCollection	UI/Prefabs/Tips&notice/CardCollectionTips.prefab		LAYER_NORMAL	Sách Thu Thập								1
CollectionCardList	UI/Prefabs/Tips&notice/CardCheckPanel.prefab		LAYER_NORMAL	Xem danh sách thẻ								1
GrowInvestPanel	UI/Prefabs/WelfareActivities/GrowInvestPanel.prefab		LAYER_POPUP	1 Quyển Gợi Ý Đầu Tư						NormalOpen	NormalClose	1
OnlineOnHookPanel	UI/Prefabs/Tips&notice/Managed.prefab		LAYER_BG	Ủy thác online						NormalOpen	NormalClose	1
ExchangePanel	UI/Prefabs/Exchange.prefab		LAYER_NORMAL	Đổi						NormalOpen	NormalClose	1
DomainMap	UI/Prefabs/MiniMap/TerritoryMapPanel.prefab		LAYER_NORMAL	Bản đồ lãnh địa	1					NormalOpen	NormalClose	1
ArenaPanel	UI/Prefabs/Arena/ArenaPanel.prefab		LAYER_NORMAL	Khiêu chiến Lôi Đài						NormalOpen	NormalClose	1
ChallengerPanel	UI/Prefabs/Arena/SelectChallengerPanel.prefab		LAYER_NORMAL	Xin khiêu chiến Lôi Đài						NormalOpen	NormalClose	
ArenaAccount	UI/Prefabs/Arena/ArenaAccount.prefab		LAYER_NORMAL	Hiện tin chiến đấu Lôi Đài	1					ArenaAccount		
ArenaBattleInfo	UI/Prefabs/Arena/ArenaBattleInfo.prefab		LAYER_NORMAL	Điểm chiến đấu Lôi Đài								
ArenaChallengerInfoPanel	UI/Prefabs/Arena/ArenaChallengeInfo.prefab		LAYER_NORMAL	Thông tin								
WatchMenuPanel	UI/Prefabs/Arena/ArenaMatchPanel.prefab		LAYER_NORMAL	Quan chiến								
VaultDonationPanel	UI/Prefabs/NewFamily/VaultDonationPanel.prefab		LAYER_NORMAL	Số lần góp						NormalOpen	NormalClose	1
BloodPanel	UI/Prefabs/NewFamily/BloodPanel.prefab		LAYER_HOME	Thanh sinh lực								
StudentReportPanel	UI/Prefabs/MasterApprentice/ApprenticeTarget.prefab		LAYER_NORMAL	Hồi báo mục tiêu Sư Đồ						NormalOpen	NormalClose	
TeacherGiftPanel	UI/Prefabs/MasterApprentice/MasterGivePanel.prefab		LAYER_NORMAL	Tặng Sư Đồ	1					NormalOpen	NormalClose	
TeacherDeclarationPanel	UI/Prefabs/MasterApprentice/MasterDeclarationPanel.prefab		LAYER_NORMAL	Thông báo nhận đệ tử						NormalOpen	NormalClose	
TeacherRewardPanel	UI/Prefabs/MasterApprentice/MasterAwardPanel.prefab		LAYER_NORMAL	Xem thưởng xuất sư	1					NormalOpen	NormalClose	
QixiPoemPanel	UI/Prefabs/Calendar/DoubleSeventhFestivalInterlude.prefab		LAYER_NORMAL									
QixiAnimationPanel	UI/Prefabs/Calendar/HuaBanYuFengguPanel.prefab		LAYER_NORMAL									
QixiSendGiftPanel	UI/Prefabs/Calendar/DoubleSeventhFestivalGifePanel.prefab		LAYER_NORMAL									
GatherBoxAnimation	UI/Prefabs/Tips&notice/KinGatherPanel.prefab		LAYER_NORMAL									
FBInvitationPanel	UI/Prefabs/SocialNew/FBInvitationPanel.prefab		LAYER_NORMAL									1
EvaluatePanel	UI/Prefabs/EvaluatePanel.prefab		LAYER_NORMAL									
EquipmentEvolutionPanel	UI/Prefabs/Strengthen/EquipmentEvolutionPanel.prefab		LAYER_NORMAL	Tiến hóa trang bị	1					NormalOpen	NormalClose	
RefinePanel	UI/Prefabs/Strengthen/RefinePanel.prefab		LAYER_POPUP	Tinh luyện trang bị	1							
ImperialTombPanel	UI/Prefabs/Calendar/ImperialTombPanel.prefab		LAYER_NORMAL		1							1
RegressionPrivilegePanel	UI/Prefabs/WelfareActivities/WelcomeBack/WelcomeBackPanel.prefab		LAYER_NORMAL	Đặc Quyền	1							
HomeScreenTip	UI/Prefabs/Fuben/HomeScreenTip.prefab		LAYER_INFO	Gợi ý Lăng Tuyệt Phong								
JuanZhouPanel	UI/Prefabs/Tips&notice/ReelTipPanel.prefab		LAYER_NORMAL	Giao diện đạo cụ trục quyển								
BlessPanel	UI/Prefabs/Calendar/BlessingPanel.prefab		LAYER_NORMAL	Tặng chúc phúc	1							
BlessPanelWord	UI/Prefabs/Calendar/NewYearBlessingPanel.prefab		LAYER_NORMAL	Tặng chúc phúc 2	1							
AgreementPanel	UI/Prefabs/Login/AgreementPanel.prefab		LAYER_NORMAL	Điều khoản								
AgreementLargePanel	UI/Prefabs/Login/AgreementLargePanel.prefab		LAYER_NORMAL	Điều khoản								
Comment	UI/Prefabs/Tips&notice/CommentPanel.prefab		LAYER_NORMAL	Hướng dẫn bình luận								
DreamlandPanel	UI/Prefabs/Calendar/DreamlandPanel.prefab		LAYER_NORMAL	Tâm Ma Ảo Cảnh-Tuyển Chọn Môn Phái	1							
DreamlandGivePanel	UI/Prefabs/Calendar/DreamlandGivePanel.prefab		LAYER_NORMAL	Tâm Ma Ảo Cảnh tặng								
DreamlandMapPanel	UI/Prefabs/Calendar/DreamlandMapPanel.prefab		LAYER_NORMAL	Bản đồ trong Tâm Ma Ảo Cảnh								
RedPaperSharePanel	UI/Prefabs/Tips&notice/RedPaperSharePanel.prefab		LAYER_NORMAL	Lì Xì Zalo						NormalOpen		
DreamlandLevelUpPanel	UI/Prefabs/Calendar/DreamlandLevelUpPanel.prefab		LAYER_NORMAL	Tăng cấp trang bị Tâm Ma Ảo Cảnh								
WeekendQuizPanel	UI/Prefabs/Quiz/WeekendQuizPanel.prefab 		LAYER_NORMAL	Vấn Đáp						NormalOpen	NormalClose	
DreamlandInfoPanel	UI/Prefabs/Calendar/DreamlandInfoPanel.prefab		LAYER_HOME	Giao diện chính Tâm Ma Ảo Cảnh								
DreamlandCheatsPanel	UI/Prefabs/Calendar/DreamlandCheatsPanel.prefab		LAYER_NORMAL	Trang bị nhân vật Tâm Ma Ảo Cảnh	1							
DreamlandShopPanel	UI/Prefabs/Calendar/DreamlandShopPanel.prefab		LAYER_NORMAL	Danh sách bán Tâm Ma Ảo Cảnh								
HorsePanel	UI/Prefabs/MountsPanel.prefab		LAYER_NORMAL	Giao diện Thú Cưỡi	1					NormalOpen		1
TxtWeixinGameCenter	UI/Prefabs/Rank/TxtGameCenter.prefab		LAYER_NORMAL	Nội dung nhắc nhở đăng nhập						NormalOpen		1
DreamlandJoinPanel	UI/Prefabs/Calendar/DreamlandJoinPanel.prefab		LAYER_NORMAL	Báo danh Tâm Ma Ảo Cảnh	1							
DreamlandStrengthenPanel	UI/Prefabs/Calendar/DreamlandStrengthenPanel.prefab		LAYER_NORMAL	Giao diện Cường Hóa Tâm Ma								
DreamlandReportPanel	UI/Prefabs/Calendar/DreamlandReportPanel.prefab		LAYER_NORMAL	Tâm Ma Chiến Báo	1							
SnowballEffectPanel	UI/Prefabs/Calendar/SnowballEffectPanel.prefab		LAYER_NORMAL	Hiệu ứng Tuyết Rơi						NormalOpen	NormalClose	
InscriptionChangePanel	UI/Prefabs/Tips&notice/InscriptionChangePanel.prefab		LAYER_NORMAL	Thay Đá Khắc Chữ								
BiWuZhaoQinPanel	UI/Prefabs/Calendar/OpenMarriagePanel.prefab		LAYER_NORMAL	Giao diện Chiêu Thân	1							
TextSelectPanel	UI/Prefabs/Calendar/TitleSeletePanel.prefab		LAYER_POPUP	Máy chọn file								
BiWuZhaoQinList	UI/Prefabs/Calendar/JoinMarriagePanel.prefab		LAYER_NORMAL	Giao diện tham gia chiêu thân	1							
QQFriendApplyPanel	UI/Prefabs/SocialNew/QQFriendApplyPanel.prefab		LAYER_NORMAL	Giao diện kết bạn	1					NormalOpen		
TxtTipPanel	UI/Prefabs/Tips&notice/TxtTipPanel.prefab		LAYER_POPUP	Hướng dẫn						NormalOpen		
WishingPanel	UI/Prefabs/Calendar/WishingTreePanel.prefab		LAYER_NORMAL									
WishListPanel	UI/Prefabs/Calendar/WishListPanel.prefab		LAYER_NORMAL									
WishListCheckPanel	UI/Prefabs/Calendar/WishListChackPanel.prefab		LAYER_NORMAL									
FightTablePanel	UI/Prefabs/Calendar/TournamentMarriagePanel.prefab		LAYER_NORMAL	Giao diện bảng chiến đấu	1					NormalOpen	NormalClose	
MainShowOffPanel	UI/Prefabs/MainCityShowOffPanel.prefab		LAYER_NORMAL	Giao diện	1					NormalOpen		
FriendRecallPanel	UI/Prefabs/WelfareActivities/WelcomeBack/PartnersBackPanel.prefab		LAYER_NORMAL	Kêu Gọi Người Chơi	1							
PartnerAwarenessPanel	UI/Prefabs/Companion/CompanionAwakenPanel.prefab		LAYER_NORMAL	UI thức tỉnh Đồng Hành	1							
PartnerSelectPanel	UI/Prefabs/Companion/CompanionAwakenSelectPanel.prefab		LAYER_POPUP	UI chọn Đồng Hành								
LoginActNpcPanel	UI/Prefabs/WelfareActivities/NewServerReward/NewYearNpcPanel.prefab		LAYER_NORMAL	NPC Đăng Nhập Năm Mới	1							
NewYearTxtPanel	UI/Prefabs/Calendar/NewYearTxtPanel.prefab		LAYER_NORMAL	Nhập nội dung tặng chúc phúc								
ChouJiangEffectPanel	UI/Prefabs/ZodiacEffectsPanel.prefab		LAYER_INFO	Hiệu ứng rút thưởng								
TextSelectPanel2	UI/Prefabs/Calendar/MarriageTitlePanel.prefab		LAYER_POPUP	Máy chọn file, 2 dòng								
QingRenJieDazuoPanel	UI/Prefabs/Calendar/QingrenjieEffectsPanel.prefab		LAYER_NORMAL									
QingRenJieInvitePanel	UI/Prefabs/Calendar/QingrenjieInteractionPanel.prefab		LAYER_NORMAL									
QingRenJieTitlePanel	UI/Prefabs/Calendar/QingrenjieTitlePanel.prefab		LAYER_NORMAL									
MessageBoxInput	UI/Prefabs/Tips&notice/MessageBoxInput.prefab		LAYER_POPUP	Cửa sổ nhập				8002	8003	NormalOpen		
SendGiftPanel	UI/Prefabs/SocialNew/DanGivePanel.prefab		LAYER_NORMAL	Tặng quà	1							
FriendImpressionPanel	UI/Prefabs/SocialNew/FriendImpressionPanel.prefab		LAYER_NORMAL	Hảo hữu	1							
FriendImpressionAgreePanel	UI/Prefabs/SocialNew/FriendImpressionAgreePanel.prefab		LAYER_NORMAL	Miêu tả hảo hữu								
ChatHostList	UI/Prefabs/ChatNew/AnchorPanel.prefab		LAYER_NORMAL	Lịch dẫn chương trình	1							
HouseDecorationPanel	UI/Prefabs/Home/HomeSettingPanel.prefab		LAYER_NORMAL	UI Lắp đặt Gia Viên								
FurnitureMake	UI/Prefabs/Home/HomeMakePanel.prefab		LAYER_NORMAL	UI Chế tạo gia cụ	1							
HouseComfortablePanle	UI/Prefabs/Home/HomeComfortablePanle.prefab		LAYER_POPUP	UI Độ thoải mái Gia Viên								
HouseComfortableDetailsPanle	UI/Prefabs/Home/HomeComfortableDetailsPanle.prefab		LAYER_POPUP	UI Gia cụ tăng độ thoải mái								
HouseManagerPanel	UI/Prefabs/Home/HomeManagePanel.prefab		LAYER_NORMAL	UI Quản Lý Gia Viên	1							
HouseSharePanel	UI/Prefabs/Home/HomeSharePanel.prefab		LAYER_NORMAL	Chia sẻ hình ảnh Gia Viên								
FurnitureOptUi	UI/Prefabs/Home/HomeUsePanel.prefab		LAYER_POPUP	UI Dùng gia cụ								
HouseCameraPanel	UI/Prefabs/Home/HomeCameraPanel.prefab		LAYER_POPUP	Góc chụp								
VitalitySkillPanel	UI/Prefabs/Tips&notice/VitalitySkillPanel.prefab		LAYER_NORMAL	Tăng cấp kỹ năng Chân Nguyên	1							
PlantHelpCurePanel	UI/Prefabs/Home/HomeAssistPanel.prefab		LAYER_NORMAL	Giúp chăm sóc	1							
PlantCurePanel	UI/Prefabs/Tips&notice/PlantTipPanel.prefab		LAYER_NORMAL	Chăm sóc cây	1							
PlantCureConfirmPanel	UI/Prefabs/Tips&notice/PlantPromptPanel.prefab		LAYER_NORMAL	Xác nhận chăm sóc cây								
VitalityEffectPanel	UI/Prefabs/Strengthen/VitalityEffectPanel.prefab		LAYER_POPUP	Hiệu ứng Tịnh Tâm								
PlantStatePanel	UI/Prefabs/Home/HomePlantPanel.prefab		LAYER_HOME	Nhắc nhở trạng thái cây trồng								
HouseInvitePanel	UI/Prefabs/Home/HomeInvitePanel.prefab		LAYER_POPUP	Mời vào ở								
ProgressBarPanel	UI/Prefabs/Tips&notice/BarPanel.prefab		LAYER_NORMAL	Thanh tiến độ						NormalOpen	NormalClose	
ItemTemplateSellPanel	UI/Prefabs/Home/HomeSellPanel.prefab		LAYER_NORMAL	Vật phẩm bán						NormalOpen	NormalClose	1
HomeSettingGuide	UI/Prefabs/Home/HomeSettingGuide.prefab		LAYER_NORMAL		1							
AchievementList	UI/Prefabs/Achievement/AchievementFurniturePanel.prefab		LAYER_NORMAL		1							
MuseEffectPanel	UI/Prefabs/Strengthen/VitalityEffectPanel2.prefab		LAYER_NORMAL	Hiệu ứng Tịnh Tâm						NormalOpen	NormalClose	
BattleRankEffectPanel	UI/Prefabs/Effect/BattleRankEffectPanel.prefab		LAYER_INFO	Hiệu ứng vòng loại Chiến Trường								
OperationSet	UI/Prefabs/OperationSetPanel.prefab		LAYER_NORMAL	Thiết lập phím tắt	1					NormalOpen		1
GrowFlowersPanel	UI/Prefabs/FestivaIActivity/GrowFlowersPanel.prefab		LAYER_NORMAL	Hoạt động ngày lễ trồng cây Gia Viên						NormalOpen		
AthleticsHonor	UI/Prefabs/Calendar/HonorPanel.prefab		LAYER_NORMAL	Vinh Dự Võ Lâm	1							
AthleticsHonorTip	UI/Prefabs/Calendar/HonorTipPanel.prefab		LAYER_NORMAL	Vinh Dự Võ Lâm								
AthleticsHonorAni	UI/Prefabs/Calendar/HonorRankPanel.prefab		LAYER_NORMAL	Vinh Dự Võ Lâm								
ShowGainItem	UI/Prefabs/Effect/AnniversaryBoxPanel.prefab		LAYER_NORMAL	UI hiện vật phẩm	1							
BeautyCompetitionPanel	UI/Prefabs/Calendar/BeautyCompetitionPanel.prefab		LAYER_NORMAL	Danh sách tặng Võ Lâm Đệ Nhất Mỹ Nhân						NormalOpen		1
NpcBiWuZhaoQinUi	UI/Prefabs/SocialNew/SpokespersonPanel.prefab		LAYER_NORMAL	NPC Tỉ Võ Chiêu Thân Ui	1							
PortraitItemPreviewPanel	UI/Prefabs/Tips&notice/HeadPreviewPanel.prefab		LAYER_NORMAL									
LockScreenPanel	UI/Prefabs/LockScreenPanel.prefab		LAYER_INFO	Khóa màn hình								
CardPickRecordPanel	UI/Prefabs/Companion/CompanionRecordPanel.prefab		LAYER_NORMAL	Lịch sử và gợi ý chiêu mộ	1					NormalOpen		1
WLDHJoinPanel	UI/Prefabs/WuLinDaHui/WLDHJoinPanel.prefab		LAYER_NORMAL		1					NormalOpen		
WLDHRankPanel	UI/Prefabs/WuLinDaHui/WLDHRankPanel.prefab		LAYER_NORMAL							NormalOpen		
WLDHBattlefieldPanel	UI/Prefabs/WuLinDaHui/WLDHBattlefieldPanel.prefab		LAYER_NORMAL	Chiến Báo	1					NormalOpen		
WeddingInterludePanel	UI/Prefabs/Marry/WeddingInterludePanel.prefab		LAYER_NORMAL	Giao diện hiệu ứng bắt đầu Bái Đường								
WeddingHeadPointPanel	UI/Prefabs/Marry/WeddingHeadPointPanel.prefab		LAYER_NORMAL	Giao diện tên nhân vật theo sau Bái Đường								
WeddingTxtPanel	UI/Prefabs/Marry/WeddingTxtPanel.prefab		LAYER_NORMAL	Nhắc nhở hôn lễ								
CampBattleInfo	UI/Prefabs/CampBattle/CampBattleInfo.prefab		LAYER_HOME	Thông tin Chiến Trường Phe								
CampBattlePanel	UI/Prefabs/CampBattle/CampBattlePanel.prefab		LAYER_NORMAL	Thông tin Đối trận Chiến Trường Phe	1							
SkillBookEquipPanel	UI/Prefabs/Skill/SkillBookEquipPanel.prefab		LAYER_NORMAL		1							1
JingMaiPanel	UI/Prefabs/Meridian/MeridianPanel.prefab		LAYER_NORMAL	Hệ thống Kinh Mạch	1							
ChatPrefixPanel	UI/Prefabs/ChatNew/ChatPrefixPanel.prefab		LAYER_NORMAL	Thiết lập tiền tố trò chuyện	1					NormalOpen		1
JingMaiTipsPanel	UI/Prefabs/Meridian/MeridianTipPanel.prefab		LAYER_NORMAL	Giao diện thuộc tính kinh mạch								
MarriageRequestPanel	UI/Prefabs/Marry/MarriageRequestPanel.prefab		LAYER_NORMAL	Giao diện cầu hôn						NormalOpen		
JingMaiMapPanel	UI/Prefabs/Meridian/MeridianMapPanel.prefab		LAYER_NORMAL		1							
YanHuaAniPanel	UI/Prefabs/Effect/Yanhua_520.prefab		LAYER_NORMAL	Giao diện hiệu ứng pháo hoa cầu hôn								
MarriageTitlePanel	UI/Prefabs/Marry/MarryTitlePanel.prefab		LAYER_POPUP	Sửa danh hiệu kết hôn								
MarriagePaperPanel	UI/Prefabs/Marry/MarryBookPanel.prefab		LAYER_NORMAL	Hôn Thư	1							
WeddingBookPanel	UI/Prefabs/Marry/MarryPanel.prefab		LAYER_NORMAL	Giao diện đặt hôn lễ	1					NormalOpen		
WeddingBookDetailPanel	UI/Prefabs/Marry/MarryReservePanel.prefab		LAYER_NORMAL	Giao diện thông tin đặt hôn lễ	1					NormalOpen		
WeddingCashGiftPanel	UI/Prefabs/Marry/MarryCashGiftPanel.prefab		LAYER_POPUP	Tặng Tiền mừng	1							
WeddingChoosePromisePanel	UI/Prefabs/Marry/MarryOathPanel.prefab		LAYER_NORMAL	Giao diện chọn lời hứa cầu hôn								
WeddingEnterPanel	UI/Prefabs/Marry/MarryEnterPanel.prefab		LAYER_NORMAL	Giao diện xin vào hôn lễ								
