PickerType	ItemType	ItemId	Name	Prob0	Prob1	Prob2	Prob3	Prob4	Prob5	Prob6	Prob7	Prob8	Prob9	ProbHighVip0	ProbHighVip1	ProbHighVip2	ProbHighVip3	ProbHighVip4	ProbHighVip5	ProbHighVip6	ProbHighVip7	ProbHighVip8	ProbHighVip9	nKinTips	nWorldTips
TenGold	PartnerCard	22	Ngu Cơ	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	23	Nhạc Phi (Trở lên là SS)	0	0	0	0	100						0	0	0	0	100							
TenGold	PartnerCard	24	Nguyệt My Nhi	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	25	Dương Anh	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	26	Chúc Tử Hư	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	27	Thanh Hiểu Sư Thái	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	28	Hoàng Mộ Vân	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	29	Đạo Nhất Chân Nhân	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	30	Đoan Mộc Duệ	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	39	Mạnh Tri Thu	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	40	Cao Trường Cung	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	41	Triết Biệt	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	42	Tần Lương Ngọc	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	43	Viên Thừa Chí	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	44	Ngao Bái	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	45	Hàn Thế Trung	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	46	Băng Lân Tích Hoàng	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	47	Ngân Câu Hạt Hoàng	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	48	Cuồng Tông Ngao Hoàng	0	0	0	0	152						0	0	0	0	152							
TenGold	PartnerCard	49	Xích Tinh Hổ Hoàng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	50	Hám Thiên Hùng Hoàng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	51	Tử Bối Ngạc Hoàng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	52	Định Hải Kim Cang	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	53	Kim Sí Bằng Hoàng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	54	Ngân Giác Tê Hoàng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	55	Trương Phong	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	56	Nam Cung Diệt	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	57	Phương Miễn	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	58	Đường Ảnh	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	59	Thu Y Thủy	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	60	Thiên Tinh Đạo Trưởng	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	61	Yên Nhược Tuyết	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	62	Dương Hi Liệt	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	63	Thượng Quan Phi Long	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	64	Nạp Lan Tiềm Lẫm (Trên là S)	0	0	0	0	151						0	0	0	0	151							
TenGold	PartnerCard	66	Nạp Lan Chân	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	67	Tiểu Ảnh Phong	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	68	Dương Thiết Tâm	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	69	Liễu Tiêu Đình	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	70	Vô Tưởng	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	71	Lý Điềm Nhi	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	72	Lý Thiên Mục	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	73	Hoàn Nhan Tương	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	80	Song Thủ Dị Thú	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	81	Bôn Diệm Báo Vương	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	82	Cửu Vĩ Hồ Vương	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	83	Đường Tiêu	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	84	Tử Hiên	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	85	Tường Vi	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	86	Trác Phi Phàm	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	87	Nguyệt Minh Dao	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	88	Nam Cung Thái Hồng	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	89	Trương Như Mộng	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	90	Trương Lâm Tâm	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	91	Phong Ngọc Thư	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	92	Khúc Hà	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	93	Gia Luật Tị Li	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	94	Lâm Hải	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	95	Lục Văn Long	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	96	Triệu Vô Song	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	97	Vô Tướng	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	98	Triệu Tiết	0	0	0	0	484						0	0	0	0	484							
TenGold	PartnerCard	99	Thiệu Kỵ Phong	0	0	0	0	483						0	0	0	0	483							
TenGold	PartnerCard	100	Hà Mộ Tuyết	0	0	0	0	483						0	0	0	0	483							
TenGold	PartnerCard	101	Triệu Thăng Quyền	0	0	0	0	483						0	0	0	0	483							
TenGold	PartnerCard	102	Sài Tung	0	0	0	0	483						0	0	0	0	483							
