nTaskId	szTaskIndex	szTaskTitle	szDetailDesc	szTaskDesc	szFinishDesc	szTrackInfo	szFinishTrackInfo	ShowClientNpc	DeleteClientNpc	Require_FinishTask	nAutoNextTaskId	nFinishDialogId	nFinishTaskNpcId	Target_PersonalFuben	bAutoFinish	Target_ExtPoint	nTaskItemId	bShowFinish	nNeedConfirmFinish	szAwardInfo	Target_KillNpc	bKillNpcToAllPlayer	nTaskType	bNotAutoNext	szOnFinishTrack	Target_OnTrap	Target_CollectItem	Target_Achievement	Target_EnterMap	Target_MinLevel	Require_MinLevel	Require_MaxLevel	nAcceptTaskNpcId	nAcceptDialogId	IsFinishGuide	bCanRepeat	szAchievement
61	MainTask1_61	[C] Sự Việc Kỳ Lạ	Không biết Dương huynh có phát hiện gì không, nếu gặp chuyện bất bình, cũng nên ra tay trượng nghĩa!	Hỏi [FFFE0D]Dương Ảnh Phong[-] chuyện xảy ra	Hỏi [FFFE0D]Dương Ảnh Phong[-] chuyện xảy ra	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35	35	60	62	59								Exp|20000;Gold|10000			1	1													
62	MainTask1_62	[C] Một Phen Hú Vía	May mà không có gì nghiêm trọng, nhưng sao bọn chúng lại ngăn cản chúng ta?	Không có chuyện gì, [FFFE0D]mau lên đường[-]	Không có chuyện gì, [FFFE0D]mau lên đường[-]	[url=gotofuben:test, 2, 1, 1]		36	36	61	63			2|1|1	1			1		Exp|20000;Gold|10000			1	1													
63	MainTask1_63	[C] Thiếu Nữ Bí Ẩn	Quả nhiên có âm mưu, Hồng Y Thiếu Nữ đó võ công rất khá, lại xinh đẹp, bọn sát thủ đó e rằng không có ý tốt!	Hỏi [FFFE0D]Thiếu Nữ Bí Ẩn[-] có việc gì xảy ra	Hỏi [FFFE0D]Thiếu Nữ Bí Ẩn[-] có việc gì xảy ra	[url=clientnpcbyidx:test, 37]	[url=clientnpcbyidx:test, 37]	36|37	36|37	62	64	61						1	1	Exp|20000;Gold|10000;Item|1022|1			1	1													
64	MainTask1_64	[C] Tiếp Tục Truy Tìm	Mấy người này võ công bình thường nhưng cũng không yếu, mong thiếu nữ này thoát được. Hãy tìm Tử Hiên cô nương trước!	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 35]	[url=clientnpcbyidx:test, 35]	35|38	35|38	63	65	62								Exp|20000;Gold|10000			1	1													
65	MainTask1_65	[C] Thôn Nhỏ Yên Bình	Tử Hiên cô nương đi không từ biệt, Dương huynh lại đứng ngồi không yên... Thôi, ta đi tìm manh mối!	Tìm manh mối [FFFE0D]thôn Tử Hiên từng ở[-]	Tìm manh mối [FFFE0D]thôn Tử Hiên từng ở[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	67		64	66				1	1	64			Exp|20000;Gold|10000			1	1	[url=dialog:test, 63]												
66	MainTask1_66	[C] Hỏi Thăm Thôn Dân	Quái lạ! Không lẽ Tử Hiên cô nương tự mình rời khỏi đây sao? Phải đi hỏi thôn dân gần đây xem thực hư thế nào!	Tìm [FFFE0D]Thôn Dân[-] xung quanh hỏi thăm	Tìm [FFFE0D]Thôn Dân[-] xung quanh hỏi thăm	[url=npc:testtt,$F,401]	[url=npc:testtt,$F,401]	67	67	65	67	64	1068							Exp|20000;Gold|10000			1	1													
67	MainTask1_67	[C] Lòng Như Lửa Đốt	Xem ra Tử Hiên cô nương rất quan trọng đối với Dương huynh... Còn Nạp Lan cô nương... Thôi, đuổi theo trước đã!	Đuổi theo [FFFE0D]Dương Ảnh Phong[-]	Đuổi theo [FFFE0D]Dương Ảnh Phong[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	40|64	40|64	66	68				1	1	66			Exp|20000;Gold|10000		1	1	1	[url=dialog:test, 66]												
68	MainTask1_68	[C] Bắt Kẻ Cầm Đầu	Không có gì cho thấy Tử Hiên cô nương bị bắt đi, hỏi Dương huynh định làm thế nào.	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 39]	[url=clientnpcbyidx:test, 39]	39	39	67	69	67								Exp|20000;Gold|10000			1	1													
69	MainTask1_69	[C] Ác Bá	Tử Hiên cô nương mất tích, lại nghe nói từng bị ác bá chọc ghẹo, phải đi hỏi rõ chuyện này!	Tìm [FFFE0D]Ác Bá[-] từng ức hiếp Tử Hiên	Tìm [FFFE0D]Ác Bá[-] từng ức hiếp Tử Hiên	[url=goanddosomething:test, 401, 11000, 3700, autofight, 1]		40	40	68	70				1					Exp|20000;Gold|10000	1751|3	1	1	1	[url=dialog:test, 68]												
70	MainTask1_70	[C] Ác Bá Giả Thiếu 	Bọn Ác Bá chưa gì đã bán đứng lão đại của chúng, cũng tốt cho ta!	Giáo huấn [FFFE0D]Giả Thiếu [-]	Giáo huấn [FFFE0D]Giả Thiếu [-]	[url=npcanddosomething:test, 1009, 401, autofight, 1]		40	40	69	71				1					Exp|20000;Gold|10000	1009|1	1	1	1	[url=dialog:test, 69]												
71	MainTask1_71	[C] Càng Thêm Bí Ẩn	Xem ra không phải bọn Ác Bá này gây chuyện, vậy Tử Hiên cô nương đâu? Không lẽ đã đi tìm Dương huynh?	Đến nơi hẹn tìm [FFFE0D]Dương Ảnh Phong[-]	Đến nơi hẹn tìm [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	70	72	70			1					Exp|20000;Gold|10000			1	1													
72	MainTask1_72	[C] Tàng Kiếm Sơn Trang	Ta không tin Trác đại ca tâm địa độc ác như vậy! Ta sẽ cùng Dương huynh đến Tàng Kiếm Sơn Trang, tìm ra chân tướng!	Cùng do thám [FFFE0D]Tàng Kiếm Sơn Trang[-]	Cùng do thám [FFFE0D]Tàng Kiếm Sơn Trang[-]	[url=gotofuben:test, 2, 2, 1]		44	44	71	73			2|2|1	1			1		Exp|20000;Gold|100000			1	1													
73	MainTask1_73	[C] Sự Thật Đau Khổ	Tử Hiên cô nương tuy trong lòng có Dương huynh, nhưng dù sao cũng đã là người của Trác Phi Phàm, không biết Dương huynh có vì vậy mà chấp nhận Nạp Lan cô nương không.	Đi khuyên giải [FFFE0D]Dương Ảnh Phong[-]	Đi khuyên giải [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43	43	72	74	71						1	1	Exp|20000;Gold|10000;Item|1042|1			1	1													
74	MainTask1_74	[C] Nhặt Củi	Trác Phi Phàm còn trẻ mà kiếm pháp đã vang danh thiên hạ, nếu một lòng chính trực, sau này chắc chắn sẽ là Minh Chủ Võ Lâm! Thật không ngờ... Thôi, mau đi tìm củi!	Tìm một ít [FFFE0D]Củi Khô[-]	Tìm một ít [FFFE0D]Củi Khô[-]	[url=npc:testtt,1273,401]		44		73	75				1	1				Exp|20000;Gold|10000			1	1	[url=dialog:test, 73]												
75	MainTask1_75	[C] Tìm Thức Ăn	Không lẽ đều là âm mưu của Trác đại ca...「Tuyệt Tình Đoạn Kiếm」Trác Phi Phàm... không ngờ lại làm thế... Không nghĩ nữa! Đói rồi, đi tìm đồ ăn trước đã.	Tìm [FFFE0D]thức ăn[-] quanh đây	Tìm [FFFE0D]thức ăn[-] quanh đây	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44		74	76				1	1	74			Exp|20000;Gold|10000			1	1	[url=dialog:test, 74]												
76	MainTask1_76	[C] Hái Quả	Ở đây có ít quả dại, hãy hái một ít đem về!	Hái một ít [FFFE0D]Quả[-]	Hái một ít [FFFE0D]Quả[-]	[url=npc:testtt,1349,401]		44		75	77				1	1				Exp|20000;Gold|10000			1	1	[url=dialog:test, 75]												
77	MainTask1_77	[C] Nhóm Lửa	Số củi này chắc đủ rồi, mai chúng ta tìm nơi ở mới, chuẩn bị về Vong Ưu Đảo thôi!	Quay về [FFFE0D]nhóm lửa[-] chống rét	Quay về [FFFE0D]nhóm lửa[-] chống rét	[url=taskitem:test, $T]	[url=taskitem:test, $T]	44	44	76	78				1	1	76			Exp|20000;Gold|10000			1	1													
78	MainTask1_78	[C] Do Dự	Lại là cô nương này... Chúng ta thật có duyên, lần này có lẽ rắc rối đây! Hãy hỏi ý Dương huynh	Hỏi [FFFE0D]Dương Ảnh Phong[-] có dự định gì	Hỏi [FFFE0D]Dương Ảnh Phong[-] có dự định gì	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45	43	77	79	77								Exp|20000;Gold|10000			1	1													
79	MainTask1_79	[C] Trở Lại Vong Ưu	Dương huynh nói đúng, gặp nhau đã là duyên, cho dù là người xấu thì vẫn nên cứu trước rồi tính vậy.	Lên đường [FFFE0D]quay về Vong Ưu Đảo[-]	Lên đường [FFFE0D]quay về Vong Ưu Đảo[-]	[url=gotofuben:test, 2, 3, 1]		44|45	44	78	80			2|3|1	1			1		Exp|20000;Gold|100000			1	1													
80	MainTask1_80	[C] Oan Gia Ngõ Hẹp	Thiếu nữ này chính là con gái của Thượng Quan Phi Long... Cha của Dương huynh tỉ võ cùng Thượng Quan Phi Long, cả hai đều vong mạng, thù này e khó hóa giải...	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 43]	[url=clientnpcbyidx:test, 43]	43|45|47		79	81	79						1	1	Exp|20000;Gold|10000;Item|1082|1			1	1													
81	MainTask1_81	[C] Chặn Truy Binh	Xem ra đám truy binh này không dễ dàng từ bỏ, ta phải ra tay ngăn chặn chúng!	Chặn Phi Long Bảo [FFFE0D]Thích Khách[-]	Chặn Phi Long Bảo [FFFE0D]Thích Khách[-]	[url=npcanddosomething:test, 1750, 401, autofight, 1]		43|45|47	43|45|47	80	82				1					Exp|20000;Gold|10000	1750|3	1	1	1	[url=dialog:test, 80]												
82	MainTask1_82	[C] Đến Nhạn Đãng	Nguyệt cô nương trọng thương, không trụ được bao lâu, mong Dương huynh mau đến đây!	[FFFE0D]Đến Nhạn Đãng Sơn[-] tìm hai người	[FFFE0D]Đến Nhạn Đãng Sơn[-] tìm hai người	[url=pos:test,401,12450,2010]	[url=pos:test,401,12450,2010]	45	45	81	83				1					Exp|20000;Gold|10000			1	1					402								
83	MainTask1_83	[C] Ân Oán	Tình hình này không ổn, không biết Dương huynh sẽ làm gì đây? Địch vừa đông vừa mạnh. Thôi, xem tình trạng Nguyệt cô nương trước!	Xem thương tích [FFFE0D]Nguyệt My Nhi[-]	Xem thương tích [FFFE0D]Nguyệt My Nhi[-]	[url=clientnpcbyidx:test, 49]	[url=clientnpcbyidx:test, 49]	49|52	49|52	82	84	81						1	1	Exp|20000;Gold|100000;Item|2399|1			1	1	[url=dialog:test, 6081]												
84	MainTask1_84	[C] Thoát Hiểm	Nguyệt cô nương bị thương rất nặng, nếu không chữa trị sớm sẽ rất phiền phức, hỏi thử Dương huynh có cách gì không!	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	Hỏi ý kiến của [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	50|51	50|51	83	85	82						1	1	Exp|20000;Gold|100000;ComposeValue|1|4			1	1													
85	MainTask1_85	[C] Đành Chờ Đợi	Trước mắt chỉ có thể chờ Nguyệt cô nương bình phục, giang hồ còn nhiều chuyện thú vị, chi bằng đi xem thử xem?	Luyện và tăng đến [FFFE0D]Lv16[-]	Luyện và tăng đến [FFFE0D]Lv16[-]	[url=openwnd:test, CalendarPanel, 1]	[url=openwnd:test, CalendarPanel, 1]	52		84	86				1								1	1						16							
86	MainTask1_86	[C] Tìm Thuốc Trị Thương	Muốn tìm một vị thương nhân bán thuốc hơi khó, nếu không có, không biết xung quanh có thảo dược không!	Tìm thảo dược [FFFE0D]xung quanh[-]	Tìm thảo dược [FFFE0D]xung quanh[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	52		85	87				1	1	85	1	1	Exp|20000;Gold|10000;Item|1052|1			1	1	[url=dialog:test, 83]												
87	MainTask1_87	[C] Đắp Thuốc Trị Thương	Không ngờ nơi này cũng có thôn dân, có thể sẽ có thu hoạch bất ngờ, hỏi xem có biết nơi nào có thuốc trị thương.	Hỏi [FFFE0D]Thôn Dân[-] nơi bán thuốc	Hỏi [FFFE0D]Thôn Dân[-] nơi bán thuốc	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]	52	52	86	88	84	1074							Exp|20000;Gold|10000			1	1													
88	MainTask1_88	[C] Dò Hỏi Khắp Nơi	Tìm được Kim Sáng Dược rồi, mau mang về cho Dương huynh!	Giao thuốc cho [FFFE0D]Dương Ảnh Phong[-]	Giao thuốc cho [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 51]	[url=clientnpcbyidx:test, 51]	51	51	87	89	85								Exp|20000;Gold|10000			1	1													
89	MainTask1_89	[C] Hoàn Thành Nhiệm Vụ	Không biết Nguyệt cô nương có chịu nhận không, hãy mang Kim Sáng Dược cho cô ấy!	Giao thuốc cho [FFFE0D]Nguyệt My Nhi[-]	Giao thuốc cho [FFFE0D]Nguyệt My Nhi[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	54	54	88	90				1	1	88			Exp|20000;Gold|10000			1	1	[url=dialog:test, 86]												
90	MainTask1_90	[C] Chốn Bình Yên	Cuối cùng cũng về tới chốn bình yên! Non xanh nước biếc, là một nơi ẩn cư rất tốt! Hãy đi thăm Nạp Lan cô nương!	Về Vong Ưu Đảo gặp [FFFE0D]Nạp Lan Chân[-]	Về Vong Ưu Đảo gặp [FFFE0D]Nạp Lan Chân[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	66		89	91	87	418							Exp|20000;Gold|10000			1	1													
91	MainTask1_91	[C] Gặp Lại Đảo Chủ	Dương huynh giờ đã tiến thoái lưỡng nan, xem ra Tử Hiên cô nương rất quan trọng với Dương huynh, đi gặp Nạp Lan đảo chủ trước vậy.	Đi gặp [FFFE0D]Nạp Lan đảo chủ[-]	Đi gặp [FFFE0D]Nạp Lan đảo chủ[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	65|66	65|66	90	92	88	954							Exp|20000;Gold|10000			1	1													
92	MainTask1_92	[C] Tâm Ma Ảo Trận	Tâm Ma Trận của Vô Ưu Giáo không phải ai cũng được vào, có cơ hội thì phải thử xem sao!	Vượt [FFFE0D]Tâm Ma Trận[-] của Vô Ưu Giáo	Vượt [FFFE0D]Tâm Ma Trận[-] của Vô Ưu Giáo	[url=goanddosomething:test, 1000, 9250, 5100, gotofuben, 2, 4, 1]		53|225	53|225	91	93			2|4|1	1			1		Exp|20000;Gold|100000			1	1													
93	MainTask1_93	[C] Bái Tạ Đảo Chủ	Tâm Ma ảo trận quả là dị thường! Phải đi gặp Nạp Lan đảo chủ để cảm tạ mới được!	Cảm tạ [FFFE0D]Nạp Lan đảo chủ[-]	Cảm tạ [FFFE0D]Nạp Lan đảo chủ[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]	228	228	92	94	90	954					1	1	Exp|20000;Gold|10000;Item|1102|1			1	1													
94	MainTask1_94	[C] Cùng Lên Đường	Sắp đến thời gian hẹn ở Tàng Kiếm Sơn Trang, hãy từ biệt Nạp Lan cô nương	Từ biệt [FFFE0D]Nạp Lan Chân[-]	Từ biệt [FFFE0D]Nạp Lan Chân[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]			93	95	91	418							Exp|20000;Gold|10000			1	1													
95	MainTask1_95	[C] Vượt Thành Công	Thì ra Tâm Ma Trận là như vậy, khó trách nhiều người muốn có được nó. Không biết Dương huynh có thu hoạch gì?	Từ biệt [FFFE0D]Dương Ảnh Phong[-]	Từ biệt [FFFE0D]Dương Ảnh Phong[-]	[url=npc:testtt,$F,1000]	[url=npc:testtt,$F,1000]			94	96	92	419					1	1	Exp|20000;Gold|10000;ComposeValue|1|5			1	1													
96	MainTask1_96	[C] Rèn Luyện Nhạn Đãng	Mất đi một người đi cùng lại có chút không quen. Đến Tàng Kiếm Sơn Trang cần đi qua Nhạn Đãng Sơn, Trác Phi Phàm rất độc ác, nhất định phải phá vỡ âm mưu của hắn! Ta sẽ ở đây rèn luyện thêm!	Đến [FFFE0D]Nhạn Đãng Sơn[-]	Đến [FFFE0D]Nhạn Đãng Sơn[-]	[url=pos:test,402,7387,5476]	[url=pos:test,402,7387,5476]			95	97				1					Exp|20000;Gold|10000			1	1					402								
97	MainTask1_97	[C] Báo Ơn	Ta từng chịu ơn Lý huynh ở Nhạn Đãng Sơn, đi hỏi huynh ấy xem có thể giúp gì không.	Hỏi chuyện [FFFE0D]Lý Đại Ngưu[-]	Hỏi chuyện [FFFE0D]Lý Đại Ngưu[-]	[url=npc:testtt,$F,402]	[url=npc:testtt,$F,402]			96	98	94	1074							Exp|20000;Gold|10000			1	1													
98	MainTask1_98	[C] Trổ Tài	Nghe nói gần đây có xuất hiện bọn Đạo Sĩ Vân Du gây náo loạn tại đây, để ta đến cho chúng biết tay!	Diệt [FFFE0D]Đạo Sĩ Vân Du[-]	Diệt [FFFE0D]Đạo Sĩ Vân Du[-]	[url=npcanddosomething:test, 1752, 402, autofight, 1]				97	99				1					Exp|20000;Gold|100000	1752|3	1	1	1													
99	MainTask1_99	[C] Chuẩn Bị Đường Về	Võ công của Tặc Phỉ cũng không tồi, chỉ tiếc là đã gặp ta, phải trở về nói cho Đại Ngưu biết việc này!	[FFFE0D]Chuẩn bị về tìm [-]Lý Đại Ngưu	[FFFE0D]Chuẩn bị về tìm [-]Lý Đại Ngưu	[url=taskitem:test, $T]	[url=taskitem:test, $T]			98	100				1	1	98			Exp|20000;Gold|10000			1	1	[url=dialog:test, 96]												
100	MainTask1_100	[C] Niềm Vui Bất Ngờ	Không ngờ Dương huynh nay đã là chủ nhân của sơn trang, Bi Ma Sơn Trang, rất bá khí! Phải đi gặp huynh ấy!	[FFFE0D]Đến gần đó tìm [-]Dương Ảnh Phong	[FFFE0D]Đến gần đó tìm [-]Dương Ảnh Phong	[url=taskitem:test, $T]	[url=taskitem:test, $T]	56	56	99	101				1	1	99			Exp|20000;Gold|10000			1	1	[url=dialog:test, 97]												
101	MainTask1_101	[C] Cùng Lên Đường	Ha ha! May mà Dương huynh vẫn giữ thói quen để lại dấu vết, cuối cùng cũng tìm được huynh ấy rồi!	Tìm [FFFE0D]Dương Ảnh Phong[-] chúc mừng	Tìm [FFFE0D]Dương Ảnh Phong[-] chúc mừng	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	100	102	98								Exp|20000;Gold|10000			1	1													
102	MainTask1_102	[C] Lại Đến Tàng Kiếm	Thì ra trên đường gặp nhiều cản trở, xem ra Nguyệt cô nương sẽ không dễ dàng bỏ qua thù hận. Nhưng hiện giờ quan trọng nhất là giải quyết việc của Tàng Kiếm Sơn Trang! Vừa may có thể đi cùng Dương huynh.	Cùng đến [FFFE0D]Tàng Kiếm Sơn Trang[-]	Cùng đến [FFFE0D]Tàng Kiếm Sơn Trang[-]	[url=goanddosomething:test, 402, 10850, 3560, gotofuben, 2, 5, 1]		56	56	101	103			2|5|1	1			1		Exp|20000;Gold|100000			1	1													
103	MainTask1_103	[C] Âm Mưu Bại Lộ	Phi Long Bảo nếu cứ phái người đến đây sẽ rất phiền phức. Ta sẽ dụ chúng đi, để Dương huynh đến Tàng Kiếm Sơn Trang trước.	Thương lượng với [FFFE0D]Dương Ảnh Phong[-]	Thương lượng với [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 55]	[url=clientnpcbyidx:test, 55]	55	55	102	104	100						1	1	Exp|20000;Gold|10000;Item|1062|1			1	1													
104	MainTask1_104	[C] Tra Rõ Ngọn Ngành	Kiếm thuật Tàng Kiếm Sơn Trang quả nhiên phi phàm, đáng tiếc tâm thuật bất chính, có lẽ chính vì lý do này mà kiếm pháp chưa thể đạt đến đỉnh cao. Suy nghĩ nhiều cũng vô ích, chi bằng đi xung quanh xem có mai phục không.	Đến [FFFE0D]Tàng Kiếm Sơn Trang[-]	Đến [FFFE0D]Tàng Kiếm Sơn Trang[-]	[url=pos:test,402,12840,3160]	[url=pos:test,402,12840,3160]	56	56	103	105				1					Exp|20000;Gold|10000			1	1	[url=dialog:test, 101]				483								
105	MainTask1_105	[C] Thù Mới Hận Cũ	Không ngờ lại gặp Tử Hiên cô nương và Trác Phi Phàm, xem ra hai người vẫn còn nhiều khúc mắc, không biết do tình thế gây nên hay do Tử Hiên cô nương vốn không thích hành vi của Trác Phi Phàm, đã đến rồi thì đi gặp xem sao.	Diệt [FFFE0D]Tàng Kiếm Trang Đinh[-]	Diệt [FFFE0D]Tàng Kiếm Trang Đinh[-]	[url=npcanddosomething:test, 1076, 483, autofight, 1]				104	106				1					Exp|20000;Gold|100000	1076|3	1	1	1	[url=dialog:test, 102]												
106	MainTask1_106	[C] Hội Ngộ	Lúc nãy nghe tiếng của Trác Phi Phàm, chắc hắn đang ở gần đây.	[FFFE0D]Xem[-] có phải là Tử Hiên không	[FFFE0D]Xem[-] có phải là Tử Hiên không	[url=taskitem:test, $T]	[url=taskitem:test, $T]	59|60		105	107				1	1	105			Exp|20000;Gold|10000			1	1	[url=dialog:test, 103]												
107	MainTask1_107	[C] Sẵn Sàng	Nhiều năm nay Dương huynh đã làm nhiều chuyện lớn lao, Bi Ma Sơn Trang nay đã ngang hàng với Phi Long Bảo và Tàng Kiếm Sơn Trang, Dương huynh quả là thiếu niên xuất chúng. Hi vọng huynh sẽ luôn theo chính đạo. Hỏi huynh ấy xem đã chuẩn bị xong chưa!	Hỏi tình hình [FFFE0D]Dương Ảnh Phong[-]	Hỏi tình hình [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57|59|60	57|59|60	106	108	104								Exp|20000;Gold|10000			1	1													
108	MainTask1_108	[C] Kiếm Khí Lăng Vân	Kiếm Khí Phong Tàng Kiếm Sơn Trang... Nơi ta từng cùng Trác Phi Phàm đối ẩm so tài, bàn võ lâm đại sự, chắc Dương huynh và hắn cũng vậy, không ngờ hắn đánh Dương huynh rơi xuống sườn núi. Thiên lý tuần hoàn, ắt sẽ báo ứng.	Diệt Trác Phi Phàm ở [FFFE0D]Kiếm Khí Phong[-]	Diệt Trác Phi Phàm ở [FFFE0D]Kiếm Khí Phong[-]	[url=goanddosomething:test, 402, 3000, 2800, gotofuben, 2, 6, 1]		58	58	107	109			2|6|1	1			1		Exp|20000;Gold|100000			1	1													
109	MainTask1_109	[C] Vang Danh Thiên Hạ	Trác Phi Phàm đã thân bại danh liệt, khó mà tiếp tục gây chuyện, chỉ tiếc cho Tàng Kiếm Sơn Trang. Dù sao đi nữa cũng chúc mừng Dương huynh!	Chúc mừng [FFFE0D]Dương Ảnh Phong[-]	Chúc mừng [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 57]	[url=clientnpcbyidx:test, 57]	57	57	108	110	106						1	1	Exp|20000;Gold|10000;Item|1112|1;ComposeValue|1|6			1	1													
110	MainTask1_110	[C] Kẻ Theo Sau	Hừ! Sau khi rời Tàng Kiếm Sơn Trang, luôn có người theo dõi chúng ta, không biết ý đồ ra sao? Rốt cuộc là thế lực phương nào? Giờ đi xem hắn có dụng ý gì?	Chất vấn [FFFE0D]Tử Hiên[-] tại sao lại theo dõi	Chất vấn [FFFE0D]Tử Hiên[-] tại sao lại theo dõi	[url=taskitem:test, $T]	[url=taskitem:test, $T]	310	310	109	111				1	1	109			Exp|20000;Gold|10000			1	1	[url=dialog:test, 107]												
111	MainTask1_111	[C] Vấn Vương	Thì ra là Tử Hiên cô nương... Cô ấy đi theo chỉ vì muốn đưa thư này cho Dương huynh. Dù sao cô cũng là một người đáng thương. Ta sẽ giúp vậy, kết quả thế nào là do Dương huynh quyết định thôi.	Mau đến [FFFE0D]Bồ Hồ Động Đình[-]	Mau đến [FFFE0D]Bồ Hồ Động Đình[-]	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|184	73|184	110	112	108								Exp|20000;Gold|10000			1	1													
112	MainTask1_112	[C] Gặp Gỡ	Đến Động Đình Hồ tìm Tử Hiên cô nương, cô ấy thật tội nghiệp, cũng do bị ép buộc, không biết Dương huynh có tha thứ không.	Đi gặp [FFFE0D]Tử Hiên cô nương[-]	Đi gặp [FFFE0D]Tử Hiên cô nương[-]	[url=clientnpcbyidx:test, 61]	[url=clientnpcbyidx:test, 61]	54|61|70	54|61|70	111	113	111						1	1	Exp|20000;Gold|10000;Item|1613|1			1	1	[url=dialog:test, 6011]												
113	MainTask1_113	[C] Đến Lúc Từ Biệt	Dương huynh đã rời khỏi đây, ta cũng phải đi thôi. Xem ra hai người họ từ nay về sau sẽ không gặp nhau nữa...	Sự việc đã xong, mau rời khỏi đây thôi	Sự việc đã xong, mau rời khỏi đây thôi	[url=taskitem:test, $T]	[url=taskitem:test, $T]	62|229	62|229	112	114				1	1	113			Exp|20000;Gold|10000			1														
114	MainTask1_114	[C] Âm Thầm Tìm Hiểu	Không được! Vừa nãy Tử Hiên cô nương có vẻ hoảng hốt, nếu không có ai chăm sóc, e rằng sẽ có chuyện! Ta phải quay về xem sao!	Phải [FFFE0D]trở về[-] xem Tử Hiên cô nương	Phải [FFFE0D]trở về[-] xem Tử Hiên cô nương	[url=taskitem:test, $T]	[url=taskitem:test, $T]	21	21	113	115				1	1	114			Exp|20000;Gold|10000			1	1	[url=dialog:test, 113]												
115	MainTask1_115	[C] Cô Gái Thần Bí	Có người! Đó là một cô nương, nhưng không biết là ai, không ngờ Tử Hiên cô nương quen với cô nương giỏi võ như vậy! Vậy ta cũng yên tâm!	Xem [FFFE0D]người đến[-] có mục đích gì	Xem [FFFE0D]người đến[-] có mục đích gì	[url=taskitem:test, $T]	[url=taskitem:test, $T]	22	22	114	116				1	1	115			Exp|20000;Gold|10000			1	1	[url=dialog:test, 114]												
116	MainTask1_116	[C] Tái Ngộ	Cô nương lúc nãy nhìn rất quen, nhưng xa quá nhìn không rõ. Thôi! Tìm Dương huynh trước đã!	Trở về tìm [FFFE0D]Dương Ảnh Phong[-]	Trở về tìm [FFFE0D]Dương Ảnh Phong[-]	[url=clientnpcbyidx:test, 73]	[url=clientnpcbyidx:test, 73]	73|83	73|83	115	117	115								Exp|20000;Gold|10000			1	1													
117	MainTask1_117	[C] Minh Chủ Võ Lâm	Minh Chủ Võ Lâm Mạnh Tri Thu võ công ắt hẳn cao cường, nếu có cơ hội phải thử sức mới được!	Đến Lạc Diệp Cốc tìm [FFFE0D]Mạnh Tri Thu[-]	Đến Lạc Diệp Cốc tìm [FFFE0D]Mạnh Tri Thu[-]	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156		116	118				1	1	117			Exp|20000;Gold|10000			1	1	[url=dialog:test, 116]												
118	MainTask1_118	[C] Tháo Bẫy	Ai đặt bẫy thú ở đây? Nếu có người ngồi hóng mát dưới cây sẽ rất dễ bị thương! Phải dỡ nó đi mới được!	Tháo [FFFE0D]Bẫy Thú[-] được ngụy trang	Tháo [FFFE0D]Bẫy Thú[-] được ngụy trang	[url=taskitem:test, $T]	[url=taskitem:test, $T]	70|156	156	117	119				1	1	118			Exp|20000;Gold|10000			1	1	[url=dialog:test, 117]												
