nShowId	nNpcId	nMapTemplateId	nX	nY	nDir	Trap	bIsTaskNpc	bIsFollow	szStartFunc	szStartParam	Desc	Map
279	1442	408	7480	8530	43				MoveAndDelete	jmg_yjj1	Nghiêm Tướng Quân-Di chuyển	Kiếm Môn Quan
280	1442	479	1550	1260	0				MoveAndDelete	gzc_yjj1	Nghiêm Tướng Quân-Di chuyển	Chiến Trường Cổ
281	1440	479	1550	1260	0		1				Nghiêm Tướng Quân-Nhiệm vụ	Chiến Trường Cổ
282	1441	479	1550	1260	0						Nghiêm Tướng Quân-Biểu hiện	Chiến Trường Cổ
283	1440	479	5430	2000	0		1				Nghiêm Tướng Quân-Nhiệm vụ	Chiến Trường Cổ
284	1441	479	5430	2000	0						Nghiêm Tướng Quân-Biểu hiện	Chiến Trường Cổ
285	1077	408	5000	5500	50		1				Lục Lâm Đầu Lĩnh-Nhiệm vụ	Kiếm Môn Quan
286	1078	408	5000	5500	50						Lục Lâm Đầu Lĩnh-Biểu hiện	Kiếm Môn Quan
287	1068	408	13370	11100	44		1				Thôn Dân-Nhiệm vụ	Kiếm Môn Quan
288	1090	408	13370	11100	44			1			Thôn Dân-Theo sau	Kiếm Môn Quan
289	1442	479	5430	2000	0				MoveAndDelete	gzc_yjj2	Nghiêm Tướng Quân-Di chuyển	Chiến Trường Cổ
290	1457	408	8000	8580	0			1			Sĩ Binh-Theo sau	Kiếm Môn Quan
291	1453	408	7170	8150	33				Move	jmg_sb1	Sĩ Binh-Di chuyển	Kiếm Môn Quan
292	1453	408	7390	7130	35				Move	jmg_sb2	Sĩ Binh-Di chuyển	Kiếm Môn Quan
293	1453	408	8500	7000	47				Move	jmg_sb3	Sĩ Binh-Di chuyển	Kiếm Môn Quan
294	1453	408	8000	8600	35				Move	jmg_sb4	Sĩ Binh-Di chuyển	Kiếm Môn Quan
295	1453	408	7550	7780	0				MoveAndDelete	jmg_sb5	Sĩ Binh-Di chuyển	Kiếm Môn Quan
296	1453	408	7650	7400	0				MoveAndDelete	jmg_sb6	Sĩ Binh-Di chuyển	Kiếm Môn Quan
297	1453	408	8130	7360	0				MoveAndDelete	jmg_sb7	Sĩ Binh-Di chuyển	Kiếm Môn Quan
298	1453	408	8000	8000	0				MoveAndDelete	jmg_sb8	Sĩ Binh-Di chuyển	Kiếm Môn Quan
299	1453	408	7170	8150	33						Sĩ Binh-Biểu hiện	Kiếm Môn Quan
300	1453	408	7390	7130	35						Sĩ Binh-Biểu hiện	Kiếm Môn Quan
301	1453	408	8500	7000	47						Sĩ Binh-Biểu hiện	Kiếm Môn Quan
302	1453	408	8000	8600	35						Sĩ Binh-Biểu hiện	Kiếm Môn Quan
303	1453	479	6000	2640	40				Move	gzc_sb1	Sĩ Binh-Di chuyển	Chiến Trường Cổ
304	1453	479	4900	2600	23				Move	gzc_sb2	Sĩ Binh-Di chuyển	Chiến Trường Cổ
305	1453	479	4960	1730	6				Move	gzc_sb3	Sĩ Binh-Di chuyển	Chiến Trường Cổ
306	1453	479	5830	1420	53				Move	gzc_sb4	Sĩ Binh-Di chuyển	Chiến Trường Cổ
307	1454	479	5400	2900	34				Move	gzc_smr1	Người Bí Ẩn-Di chuyển	Chiến Trường Cổ
308	1454	479	5390	2380	34				MoveAndDelete	gzc_smr2	Người Bí Ẩn-Di chuyển	Chiến Trường Cổ
309	720	400	4050	8670	41		1				Nạp Lan Chân-Nhiệm vụ	Tỏa Vân Uyên
310	1343	402	2800	2800	15				MoveAndDelete	yds_yyf1	Dương Ảnh Phong-Di chuyển	Nhạn Đãng Sơn
311	1629	403	5850	7710	57		1				Tường Vi-Nhiệm vụ	Động Đình Hồ
312	1632	403	5850	7710	57			1			Tường Vi-Theo sau	Động Đình Hồ
313	1646	411	14400	12060	44		1				Thiếu Nữ Áo Trắng-Nhiệm vụ	Phục Ngưu Sơn
314	1647	411	14400	12060	44						Thiếu Nữ Áo Trắng-Biểu hiện	Phục Ngưu Sơn
315	1648	411	9340	9000	49		1				Cố Thanh Tuyết-Nhiệm vụ	Phục Ngưu Sơn
316	1649	411	9340	9000	49						Cố Thanh Tuyết-Biểu hiện	Phục Ngưu Sơn
317	1276	411	12700	14100	0						Thu thập	Phục Ngưu Sơn
318	1658	411	4050	14300	30			1			Vân Tiếu Phong-Theo sau	Phục Ngưu Sơn
319	1650	411	10500	14100	34		1				Vân Tiếu Phong-Nhiệm vụ	Phục Ngưu Sơn
320	1651	411	10500	14100	34						Vân Tiếu Phong-Biểu hiện	Phục Ngưu Sơn
321	1650	411	7130	14120	35		1				Vân Tiếu Phong-Nhiệm vụ	Phục Ngưu Sơn
322	1651	411	7130	14120	35						Vân Tiếu Phong-Biểu hiện	Phục Ngưu Sơn
323	1652	411	4050	14300	30		1				A Bang-Nhiệm vụ	Phục Ngưu Sơn
324	1653	411	4050	14300	30						A Bang-Biểu hiện	Phục Ngưu Sơn
325	1659	411	5600	9540	41			1			A Bang-Theo sau	Phục Ngưu Sơn
326	1661	411	5300	5000	35			1			Dương Anh-Theo sau	Phục Ngưu Sơn
327	1652	411	7660	9240	35		1				A Bang-Nhiệm vụ	Phục Ngưu Sơn
328	1653	411	7660	9240	35						A Bang-Biểu hiện	Phục Ngưu Sơn
329	1654	411	6900	3180	0		1				Dương Anh-Nhiệm vụ	Phục Ngưu Sơn
330	1655	411	6900	3180	0						Dương Anh-Biểu hiện	Phục Ngưu Sơn
331	1654	411	5300	5000	35		1				Dương Anh-Nhiệm vụ	Phục Ngưu Sơn
332	1655	411	5300	5000	35						Dương Anh-Biểu hiện	Phục Ngưu Sơn
333	1654	411	14220	8770	47		1				Dương Anh-Nhiệm vụ	Phục Ngưu Sơn
334	1655	411	14220	8770	47						Dương Anh-Biểu hiện	Phục Ngưu Sơn
335	1656	484	1610	3080	21		1				Độc Cô Kiếm-Nhiệm vụ	Phục Ngưu Sơn
336	1657	484	1610	3080	21						Độc Cô Kiếm-Biểu hiện	Phục Ngưu Sơn
337	1656	411	13430	3480	51		1				Độc Cô Kiếm-Nhiệm vụ	Phục Ngưu Sơn
338	1657	411	13430	3480	51						Độc Cô Kiếm-Biểu hiện	Phục Ngưu Sơn
339	1068	411	9800	11550	38		1				Thôn Dân-Nhiệm vụ	Phục Ngưu Sơn
340	1234	411	9800	11550	38			1			Thôn Dân-Biểu hiện	Phục Ngưu Sơn
341	1651	411	4140	13950	55						Vân Tiếu Phong-Biểu hiện	Phục Ngưu Sơn
342	1651	411	7950	9200	33						Vân Tiếu Phong-Biểu hiện	Phục Ngưu Sơn
343	1654	411	14420	7020	47		1				Dương Anh-Nhiệm vụ	Phục Ngưu Sơn
344	1655	411	14420	7020	47						Dương Anh-Biểu hiện	Phục Ngưu Sơn
345	1662	411	13430	3480	51			1			Độc Cô Kiếm-Theo sau	Phục Ngưu Sơn
346	1764	411	14200	5100	32				MoveAndDelete	fns_dgj1	Độc Cô Kiếm-Di chuyển	Phục Ngưu Sơn
377	1233	15	7820	8720	32						Cư Dân Trong Thành-Biểu hiện	Lâm An Thành
378	1945	15	7820	8600	0						Cư Dân Trong Thành-Biểu hiện	Lâm An Thành
379	1236	15	6870	15820	41						Nhân Sĩ Võ Lâm-Biểu hiện	Lâm An Thành
380	1240	15	6730	15700	8						Nhân Sĩ Võ Lâm-Biểu hiện	Lâm An Thành
800	1667	10	17720	12650	52						Tiểu Duyên-Biểu hiện	Tương Dương
801	1679	801	4600	950	49				Move	yfg_tt1	Đĩnh Ca-Di chuyển	Ngọc Phong Cốc
802	1679	801	3600	1000					MoveAndTalk	yfg_tt2|Duyên phận...Ta sẽ trân trọng và bảo vệ ngươi.	Đĩnh Ca-Di chuyển	Ngọc Phong Cốc
803	1678	801	2400	950	18				MoveAndTalk	yfg_yy1|Cuối cùng cũng gặp, cũng may ta chưa từ bỏ.	Tiểu Duyên-Di chuyển	Ngọc Phong Cốc
804	1685	10	17720	12650	52		1				Tiểu Duyên-Nhiệm vụ	Tương Dương
805	1679	801	4600	950	49						Đĩnh Ca-Biểu hiện	Ngọc Phong Cốc
