MagicName	Value1	Value2	Value3	Không phải thuộc tính buff	szMagicDesc	paramDesc	CodeName
add_deadlystrike_v3	0	1	0		Tăng điểm bạo kích kỹ năng chỉ định	0	magic_skilladdition_add_deadlystrike_v3
add_deadlystrike_v4	0	1	0		Tăng điểm bạo kích kỹ năng chỉ định	0	magic_skilladdition_add_deadlystrike_v4
add_deadlydmg_p1	0	1	0		Tăng sát thương bạo kích kỹ năng chỉ định %	0	magic_skilladdition_add_deadlydmg_p1
add_deadlydmg_p2	0	1	0		Tăng sát thương bạo kích kỹ năng chỉ định %	0	magic_skilladdition_add_deadlydmg_p2
add_deadlydmg_p3	0	1	0		Tăng sát thương bạo kích kỹ năng chỉ định %	0	magic_skilladdition_add_deadlydmg_p3
add_deadlydmg_p4	0	1	0		Tăng sát thương bạo kích kỹ năng chỉ định %	0	magic_skilladdition_add_deadlydmg_p4
add_hurt_r	0	1	0		Tăng tỉ lệ bị thương kỹ năng chỉ định, cần kỹ năng gốc có Bị Thương	0	magic_skilladdition_add_spe_r_begin
add_hurt_t	0	1	0		Tăng thời gian bị thương kỹ năng chỉ định, cần kỹ năng gốc có Bị Thương	0	magic_skilladdition_add_spe_t_begin
addms_speed1	0	1			Tăng tốc độ Đạn bay	ID kỹ năng; tăng tốc độ Đạn	magic_skilladdition_ms_speed1
addms_speed2	0	1			Tăng tốc độ Đạn bay	ID kỹ năng; tăng tốc độ Đạn	magic_skilladdition_ms_speed2
addms_speed3	0	1			Tăng tốc độ Đạn bay	ID kỹ năng; tăng tốc độ Đạn	magic_skilladdition_ms_speed3
addms_speed4	0	1			Tăng tốc độ Đạn bay	ID kỹ năng; tăng tốc độ Đạn	magic_skilladdition_ms_speed4
addms_hitnpc_c1	0	1			Tăng số lượng tấn công của Đạn với NPC	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitnpc_c1
addms_hitnpc_c2	0	1			Tăng số lượng tấn công của Đạn với NPC	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitnpc_c2
addms_hitnpc_c3	0	1			Tăng số lượng tấn công của Đạn với NPC	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitnpc_c3
addms_hitplayer_c1	0	1			Tăng số lượng tấn công của Đạn với người chơi	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitplayer_c1
addms_hitplayer_c2	0	1			Tăng số lượng tấn công của Đạn với người chơi	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitplayer_c2
addms_hitplayer_c3	0	1			Tăng số lượng tấn công của Đạn với người chơi	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hitplayer_c3
addms_hittotal_c1	0	1			Tăng số lượng tấn công của Đạn với (người chơi +NPC)	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hittotal_c1
addms_hittotal_c2	0	1			Tăng số lượng tấn công của Đạn với (người chơi +NPC)	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hittotal_c2
addms_hittotal_c3	0	1			Tăng số lượng tấn công của Đạn với (người chơi +NPC)	ID kỹ năng; Số lượng tăng	magic_skilladdition_ms_hittotal_c3
addms_life1	0	1			Tăng thời gian Đạn sinh tồn	ID kỹ năng; tuổi thọ Đạn tăng	magic_skilladdition_ms_life1
addms_life2	0	1			Tăng thời gian Đạn sinh tồn	ID kỹ năng; tuổi thọ Đạn tăng	magic_skilladdition_ms_life2
addms_life3	0	1			Tăng thời gian Đạn sinh tồn	ID kỹ năng; tuổi thọ Đạn tăng	magic_skilladdition_ms_life3
addms_dmg_range1	0	1			Tăng phạm vi tấn công của Đạn	ID kỹ năng; bán kính tăng	magic_skilladdition_ms_dmg_range1
addms_dmg_range2	0	1			Tăng phạm vi tấn công của Đạn	ID kỹ năng; bán kính tăng	magic_skilladdition_ms_dmg_range2
addms_dmg_range3	0	1			Tăng phạm vi tấn công của Đạn	ID kỹ năng; bán kính tăng	magic_skilladdition_ms_dmg_range3
add_shield	0	1			Tăng hệ số nhanh nhẹn của hộ thuẫn	ID kỹ năng; hệ số nhanh nhẹn tăng	magic_skilladdition_shield
add_adddmgbydist	0	1			Tăng hệ số sát thương của adddamagebydist	ID kỹ năng; hệ số tăng	magic_skilladdition_adddmgbydist
add_addstuntimedist	0	1			Tăng hệ số thời gian của addstuntime_bydist	ID kỹ năng; hệ số tăng	magic_skilladdition_addstuntimedist
addcall_npclife	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npclife_p
addcall_npcdmg	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npcdamage_p
add_allfaction	1				Tất cả kỹ năng môn phái tăng n cấp	Cấp tăng	magic_skilladdition_add_allfaction_level
add_metaldamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_metaldamage_v1
add_wooddamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_wooddamage_v1
add_waterdamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_waterdamage_v1
add_firedamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_firedamage_v1
add_earthdamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_earthdamage_v1
add_holydamage_v1	0	1			Tăng sát thương điểm kỹ năng tối thiểu	ID kỹ năng; sát thương tăng	magic_skilladdition_holydamage_v1
add_metaldamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_metaldamage_v2
add_wooddamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_wooddamage_v2
add_waterdamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_waterdamage_v2
add_firedamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_firedamage_v2
add_earthdamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_earthdamage_v2
add_holydamage_v2	0	1			Tăng tham số sát thương điểm kỹ năng 2 (Thực tế không có ý nghĩa game)	ID kỹ năng; sát thương tăng	magic_skilladdition_holydamage_v2
add_metaldamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_metaldamage_v3
add_wooddamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_wooddamage_v3
add_waterdamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_waterdamage_v3
add_firedamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_firedamage_v3
add_earthdamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_earthdamage_v3
add_holydamage_v3	0	1			Tăng sát thương điểm kỹ năng tối đa	ID kỹ năng; sát thương tăng	magic_skilladdition_holydamage_v3
add_skill_max_ms1	0	1			Tăng kỹ năng đồng thời tồn tại số đạn tối đa	ID kỹ năng; Số lượng tăng	magic_skilladdition_skill_max_ms1
add_skill_max_ms2	0	1			Tăng kỹ năng đồng thời tồn tại số đạn tối đa	ID kỹ năng; Số lượng tăng	magic_skilladdition_skill_max_ms2
add_skill_max_ms3	0	1			Tăng kỹ năng đồng thời tồn tại số đạn tối đa	ID kỹ năng; Số lượng tăng	magic_skilladdition_skill_max_ms3
add_skill_max_ms4	0	1			Tăng kỹ năng đồng thời tồn tại số đạn tối đa	ID kỹ năng; Số lượng tăng	magic_skilladdition_skill_max_ms4
add_ignore_invin1	0	0			Khiến kỹ năng chỉ định bỏ qua Vô Địch	ID kỹ năng; ?	magic_skilladdition_ignore_invincible1
add_ignore_invin2	0	0			Khiến kỹ năng chỉ định bỏ qua Vô Địch	ID kỹ năng; ?	magic_skilladdition_ignore_invincible2
add_ignore_invin3	0	0			Khiến kỹ năng chỉ định bỏ qua Vô Địch	ID kỹ năng; ?	magic_skilladdition_ignore_invincible3
add_ignore_invin4	0	0			Khiến kỹ năng chỉ định bỏ qua Vô Địch	ID kỹ năng; ?	magic_skilladdition_ignore_invincible4
add_ignore_invin5	0	0			Khiến kỹ năng chỉ định bỏ qua Vô Địch	ID kỹ năng; ?	magic_skilladdition_ignore_invincible5
add_callnpc_skill	0	0			Tăng kỹ năng cho npc triệu hồi	Buffid triệu hồi Gấu Trúc, buffid cho Gấu Trúc, cấp	magic_skilladdition_callnpc_skill
add_skill_point1	0	1			Tăng 	ID kỹ năng; giới hạn tích lũy tăng	magic_skilladdition_skill_point1
add_skill_point2	0	1			Tăng 	ID kỹ năng; giới hạn tích lũy tăng	magic_skilladdition_skill_point2
add_skill_point3	0	1			Tăng 	ID kỹ năng; giới hạn tích lũy tăng	magic_skilladdition_skill_point3
add_dotdmg_p	0	1			Khi mục tiêu có tăng có sát thương dot tăng, tăng sát thương với mục tiêu	Loại dot; sát thương tăng	magic_skilladdition_add_dotdmg_p
add_dotdshield_p	0	1			dot tăng sát thương cho hộ thuẫn	Loại dotType; tỉ lệ	magic_skilladdition_add_dotdshield_p
add_att_speed1	0	1			Tăng tốc đánh kỹ năng chỉ định	ID kỹ năng; Tốc đánh tăng	magic_skilladdition_skill_att_speed1
add_att_speed2	0	1			Tăng tốc đánh kỹ năng chỉ định	ID kỹ năng; Tốc đánh tăng	magic_skilladdition_skill_att_speed2
add_att_speed3	0	1			Tăng tốc đánh kỹ năng chỉ định	ID kỹ năng; Tốc đánh tăng	magic_skilladdition_skill_att_speed3
add_att_speed4	0	1			Tăng tốc đánh kỹ năng chỉ định	ID kỹ năng; Tốc đánh tăng	magic_skilladdition_skill_att_speed4
add_att_speed5	0	1			Tăng tốc đánh kỹ năng chỉ định	ID kỹ năng; Tốc đánh tăng	magic_skilladdition_skill_att_speed5
add_attackrating_p1	0	1			Tăng tỉ lệ chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng tỉ lệ chính xác	magic_skilladdition_attackrating_p1
add_attackrating_p2	0	1			Tăng tỉ lệ chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng tỉ lệ chính xác	magic_skilladdition_attackrating_p2
add_attackrating_p3	0	1			Tăng tỉ lệ chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng tỉ lệ chính xác	magic_skilladdition_attackrating_p3
add_attackrating_p4	0	1			Tăng tỉ lệ chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng tỉ lệ chính xác	magic_skilladdition_attackrating_p4
add_attackrating_v1	0	1			Tăng điểm chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng điểm chính xác	magic_skilladdition_attackrating_v1
add_attackrating_v2	0	1			Tăng điểm chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng điểm chính xác	magic_skilladdition_attackrating_v2
add_attackrating_v3	0	1			Tăng điểm chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng điểm chính xác	magic_skilladdition_attackrating_v3
add_attackrating_v4	0	1			Tăng điểm chính xác cơ bản của kỹ năng chỉ định	ID kỹ năng; Tăng điểm chính xác	magic_skilladdition_attackrating_v4
addcall_npclife1	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npclife_p1
addcall_npclife2	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npclife_p2
addcall_npclife3	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npclife_p3
addcall_npclife4	0	1			Tăng tỉ lệ sinh lực của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; sinh lực tăng	magic_skilladdition_call_npclife_p4
addcall_npcdmg1	0	1			Tăng tỉ lệ tấn công của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; Tăng tấn công	magic_skilladdition_call_npcdamage_p1
addcall_npcdmg2	0	1			Tăng tỉ lệ tấn công của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; Tăng tấn công	magic_skilladdition_call_npcdamage_p2
addcall_npcdmg3	0	1			Tăng tỉ lệ tấn công của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; Tăng tấn công	magic_skilladdition_call_npcdamage_p3
addcall_npcdmg4	0	1			Tăng tỉ lệ tấn công của npc triệu hồi	ID kỹ năng triệu hồi thú cưng; Tăng tấn công	magic_skilladdition_call_npcdamage_p4
add_recdot_type_p	1				Tăng (Mê Tâm Cổ) hệ số tăng buff tăng sát thương độc mục tiêu chịu	???	magic_skilladdition_recdot_type_p
add_dotdamage_metal	0	1	1		Tăng sát thương dot Hệ Kim	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_metal
add_dotdamage_wood	0	1	1		Tăng sát thương dot Hệ Mộc	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_wood
add_dotdamage_water	0	1	1		Tăng sát thương dot Hệ Thủy	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_water
add_dotdamage_fire	0	1	1		Tăng sát thương dot Hệ Hỏa	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_fire
add_dotdamage_earth	0	1	1		Tăng sát thương dot Hệ Thủy	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_earth
add_dotdamage_holy	0	1	1		Tăng sát thương dot Hệ Thần Thánh	ID kỹ năng, tăng %, tăng điểm	magic_skilladdition_dotdamage_holy
add_callnpc_skill1	0	0	0		Tăng kỹ năng cho npc triệu hồi	ID kỹ năng triệu hồi thú cưng, buffid cho thú cưng, cấp	magic_skilladdition_callnpc_skill1
add_callnpc_skill2	0	0	0		Tăng kỹ năng cho npc triệu hồi	ID kỹ năng triệu hồi thú cưng, buffid cho thú cưng, cấp	magic_skilladdition_callnpc_skill2
add_callnpc_skill3	0	0	0		Tăng kỹ năng cho npc triệu hồi	ID kỹ năng triệu hồi thú cưng, buffid cho thú cưng, cấp	magic_skilladdition_callnpc_skill3
add_callnpc_skill4	0	0	0		Tăng kỹ năng cho npc triệu hồi	ID kỹ năng triệu hồi thú cưng, buffid cho thú cưng, cấp	magic_skilladdition_callnpc_skill4
add_recdot_alldmg1	0	1			Tăng tỉ lệ kỹ năng bộc phát sát thương độc	ID kỹ năng; hệ số bộc phát tăng	magic_skilladdition_recdot_alldmg1
add_recdot_alldmg2	0	1			Tăng tỉ lệ kỹ năng bộc phát sát thương độc	ID kỹ năng; hệ số bộc phát tăng	magic_skilladdition_recdot_alldmg2
add_recdot_alldmg3	0	1			Tăng tỉ lệ kỹ năng bộc phát sát thương độc	ID kỹ năng; hệ số bộc phát tăng	magic_skilladdition_recdot_alldmg3
add_recdot_alldmg4	0	1			Tăng tỉ lệ kỹ năng bộc phát sát thương độc	ID kỹ năng; hệ số bộc phát tăng	magic_skilladdition_recdot_alldmg4
add_dottype_metal_p	0	1			Sát thương dottype gây ra tăng	Id loại dotType; tăng tỉ lệ	magic_skilladdition_dottype_metal_p
add_dottype_wood_p	0	1			Sát thương dottype gây ra tăng	Id loại dotType; tăng tỉ lệ	magic_skilladdition_dottype_wood_p
add_dottype_water_p	0	1			Sát thương dottype gây ra tăng	Id loại dotType; tăng tỉ lệ	magic_skilladdition_dottype_water_p
add_dottype_fire_p	0	1			Sát thương dottype gây ra tăng	Id loại dotType; tăng tỉ lệ	magic_skilladdition_dottype_fire_p
add_dottype_earth_p	0	1			Sát thương dottype gây ra tăng	Id loại dotType; tăng tỉ lệ	magic_skilladdition_dottype_earth_p
addvanishskill1	0	0	0		Tăng sự kiện biến mất cho kỹ năng	ID kỹ năng; ID kỹ năng sự kiện; Cấp kỹ năng sự kiện	magic_skilladdition_addvanishskill1
addvanishskill2	0	0	0		Tăng sự kiện biến mất cho kỹ năng	ID kỹ năng; ID kỹ năng sự kiện; Cấp kỹ năng sự kiện	magic_skilladdition_addvanishskill2
addvanishskill3	0	0	0		Tăng sự kiện biến mất cho kỹ năng	ID kỹ năng; ID kỹ năng sự kiện; Cấp kỹ năng sự kiện	magic_skilladdition_addvanishskill3
addvanishskill4	0	0	0		Tăng sự kiện biến mất cho kỹ năng	ID kỹ năng; ID kỹ năng sự kiện; Cấp kỹ năng sự kiện	magic_skilladdition_addvanishskill4
add_loselife_dmg_p	0	1			Dựa theo sinh lực bị mất tăng hệ số sát thương	ID kỹ năng; hệ số tăng tham số 1	magic_skilladdition_loselife_dmg_p
add_damage_maxlife_p	0	1			Tăng damage_maxlife_p	ID kỹ năng; tham số 1 sát thương sinh lực tối đa tăng	magic_skilladdition_damage_maxlife_p
add_damage_curlife_p	0	1			Tăng damage_curlife_p	ID kỹ năng; Tham số 1 sát thương sinh lực hiện tại tăng	magic_skilladdition_damage_curlife_p
lowhp_damage_att_p	1	1			Dựa vào lượng sinh lực mất tăng sát thương gây ra	Hệ số tăng mất sinh lực; cơ bản tăng	
lowhp_damage_beatt_p	1	1			Dựa vào lượng sinh lực mất tăng sát thương bị chịu	Hệ số tăng mất sinh lực; cơ bản tăng	
add_deadlystrike_p1	0	1			Tăng tỉ lệ bạo kích của kỹ năng chỉ định (Tỉ lệ cố định)	ID kỹ năng; tỉ lệ	
add_deadlystrike_p2	0	1			Tăng tỉ lệ bạo kích của kỹ năng chỉ định (Tỉ lệ cố định)	ID kỹ năng; tỉ lệ	
add_deadlystrike_p3	0	1			Tăng tỉ lệ bạo kích của kỹ năng chỉ định (Tỉ lệ cố định)	ID kỹ năng; tỉ lệ	
add_deadlystrike_p4	0	1			Tăng tỉ lệ bạo kích của kỹ năng chỉ định (Tỉ lệ cố định)	ID kỹ năng; tỉ lệ	
add_check_buff_superpose	0	1			Số tầng buff yêu cầu kỹ năng tăng thêm	ID kỹ năng. Điểm cộng số tầng	
