WayName	Value	Desc	Comment	Reason2	Round	kin	kinMem
LogWay_FathersDay	373		Ngày của cha				
LogWay_WeddingFirework	374		Pháo Hoa				
LogWay_WeddingTour	375		Diễu Hành Hôn Lễ				
LogWay_GM	376		Thông qua GMWEB hoặc IDIP chấp hành				
LogWay_WuLinDaHui	377		Đại Hội Võ Lâm				
LogWay_IdipSendUnattchMail	378		Gửi thư cá nhân không đính kèm				
LogWay_Wedding	379	Hôn lễ	Hôn lễ				
LogWay_HouseDefend	380	Gia Viên Thủ Vệ	Gia Viên Thủ Vệ				
LogWay_ActHonorLevelRank	381		Hoạt động Quân Hàm				
LogWay_InDifferBattleUpgrade	382		Tiến cấp Tâm Ma				
LogWay_ImperialTomb_StayTime	383	Tần Lăng	Thời gian treo máy thay đổi				
LogWay_Marriage_ChangeTitle	384	Kết Hôn	Sửa danh hiệu				
LogWay_Marriage_Memorial	385		Kỷ Niệm Kết Hôn				
LogWay_Marriage_Dismiss	386	Ly hôn	Ly hôn				
LogWay_Marriage_CashGift	387		Tặng Tiền mừng				
LogWay_XueWeiLevelup	388		Xung huyệt				
LogWay_Lottery_Award	389		Rút thưởng				
LogWay_XueWeiUseProtentialItem	390		Dùng Tư Chất Đơn nhận Chân Khí				
LogWay_WeddingBook	391		Thời hạn đính hôn				
LogWay_WeddingWarnBookMail	392		Thư nhắc nhở đính hôn				
LogWay_WeddingOverdueBookMail	393		Thư hết hạn đính hôn				
LogWay_XueWeiResetAward	394		Thiết lập huyệt vị				
LogWay_JingMaiOpenAward	395		Mở hệ thống Kinh Mạch hoàn trả Chân Khí				
LogWay_UseZhenQiItem	396		Dùng Chân Khí Đơn				
LogWay_WeddingMarryAward	397		Thưởng Kết Hôn				
LogWay_CrossBossFight	398	Minh Chủ Võ Lâm	Đánh Minh Chủ Khiêu Chiến Võ Minh Chủ Liên SV				
LogWay_CrossBossRob	399	Minh Chủ Võ Lâm	Đoạt Khiêu Chiến Võ Minh Chủ Liên SV				
LogWay_IdipDoReikiReq	400		IDIP sửa chân khí				
LogWay_TeachersDay	401	Lễ Sư Đồ	Lễ Sư Đồ				
LogWay_CollectAndRobClue	402		Hoạt động thu thập Mảnh Ngày Lễ				
LogWay_InDifferBattleAwardMonth	403	Tâm Ma Ảo Cảnh Tháng	Thưởng Tâm Ma Ảo Cảnh Tháng				
LogWay_InDifferBattleAwardSeason	404	Tâm Ma Ảo Cảnh Quý	Thưởng Tâm Ma Ảo Cảnh Quý				
LogWay_JiziAct	405		Hoạt Động Hào Hiệp-Tìm Chữ				
LogWay_DiscountCoupon	406		Phiếu Giảm Giá				
LogWay_SendGiftMoonCake	407	Tặng Tình Vân Thu Nguyệt	Tặng Tình Vân Thu Nguyệt				
LogWay_AwardBySexItem	408		Đạo cụ thưởng theo giới tính				
LogWay_IdIpCostMoneyDept	409	idip trừ tiền có thể gây ra trạng thái thiếu nợ	idip trừ tiền có thể gây ra trạng thái thiếu nợ				
LogWay_AuctionClosed	410		Đóng đấu giá				
LogWay_ZhenFaQuestion	411		Thưởng Vấn Đáp NV Thí Luyện Trận Pháp				
LogWay_ZhenFaAward	412		Thưởng nhiệm vụ Thí Luyện Trận Pháp				
LogWay_ZhenFaOtherAward	413		Thưởng đồng đội Thí Luyện Trận Pháp				
LogWay_ZhenFa	414		Trận Pháp				
LogWay_QQInviteUnRegFriends	415		Thưởng mời hảo hữu đăng ký				
LogWay_CombineKey	416		Ghép				
LogWay_CommerceTaskAct	417		Hoạt động Nhiệm Vụ Thương Hội				
LogWay_DongzhiAct	418		Hoạt động Đông Chí				
LogWay_NewYearChris	419		Hoạt động Ngày Lễ				
LogWay_ZhenFaOpenBoxAward	420		Mở Rương Thí Luyện Trận Pháp				
LogWay_Item2BreakSkillMaxLv	421		Dùng đạo cụ đột phát giới hạn kỹ năng				
LogWay_QYHCross	422		Quần Anh Hội Liên SV				
LogWay_WldsTask	423	Võ Lâm Đại Sự	Võ Lâm Đại Sự				
LogWay_QYHCrossWinAward	424		Thưởng thắng Quần Anh Hội Liên SV				
LogWay_QYHCrossJoinAward	425		Thưởng n trận Quần Anh Hội Liên SV				
LogWay_GFMGiftGiving	426		GFM tặng quà				
LogWay_AppPackageGift	427		Quà App				
LogWay_LabaAct	428	Giỗ Tổ Hùng Vương	Bánh Chưng Giỗ Tổ				
LogWay_Avatar	429	Biến thân	Biến thân				
LogWay_NewYearQAAct	430		Vấn Đáp Năm Mới				
LogWay_IDIPAddItemByStr	431						
LogWay_Pet	432	Thú Cưng	Thú Cưng				
LogWay_InterConnExtGold	433	Trao đổi bồi thường thêm					
LogWay_Uncompose	434	Tách đạo cụ					
LogWay_MagicBowl	435	Tụ Bảo Bồn					
LogWay_KinSecretFuben	436	Bí Cảnh Bang Hội					
LogWay_JingMaiLevelUp	437	Kinh Mạch	Kinh Mạch				
LogWay_GoodVoiceRecharge	438	The Voice_Nạp thẻ tặng	VLTK M Voice				
LogWay_GoodVoice_Winner	439	Chiến thắng trong The Voice	VLTK M Voice				
LogWay_GoodVoice_RankGlobal	440	Thưởng Hạng The Voice toàn máy chủ	VLTK M Voice				
LogWay_BeautyPageant_Winner	441	Thưởng Hạng Bầu Chọn Mỹ Nhân	Bầu Chọn Mỹ Nhân Võ Lâm				
LogWay_GoodVoice_TaoHuaRain	442	Thưởng Mưa Hoa Đào The Voice	VLTK M Voice				
LogWay_GoodVoice_SignUp	443	Báo danh The Voice	VLTK M Voice				
LogWay_GoodVoice_SemiFinalArea	444	Quán quân khu vực bán kết The Voice	VLTK M Voice				
LogWay_GoodVoice_SemiFinalFaction	445	Quán quân môn phái bán kết The Voice	VLTK M Voice				
LogWay_GoodVoice_Vote	446	Thưởng bỏ phiếu The Voice	VLTK M Voice				
LogWay_MedalFightAct	447	Đoạt Huy Chương	Đoạt Huy Chương				
LogWay_PlantCureHelpAct	448	Lao Động Vinh Quang	Lao Động Vinh Quang				
LogWay_GoodVoiceVoteRank	449	Thưởng hạng bỏ phiếu cống hiến The Voice	VLTK M Voice				
LogWay_GoodVoiceCommond	450	VLTK M Voice	VLTK M Voice				
LogWay_GoodVoiceEveryTarget	451	Năng động mỗi ngày VLTK M Voice	VLTK M Voice				
LogWay_GoodVoiceLGX	452	Chiến Đội VLTK M Voice Lâm Triều Hoa	VLTK M Voice				
LogWay_GoodVoiceZLY	453	Chiến Đội VLTK M Voice Triệu Ân Đồng	VLTK M Voice				
LogWay_DanceAct	454	Vũ Động Giang Hồ	Vũ Động Giang Hồ				
LogWay_JueXue	455	Tuyệt Học	Tuyệt Học				
LogWay_WorldCupAct	456	Cup Thế Giới	Cup Thế Giới				
LogWay_JueDiAct	457	Tâm Ma Tuyệt Địa-Hoạt động	Tâm Ma Tuyệt Địa-Hoạt động				
LogWay_KeyQuestFuben	458	Di Tích Tầm Bảo	Di Tích Tầm Bảo				
LogWay_UnlockPartnerCardPos	459	Mở khóa ô Môn Khách	Môn Khách				
LogWay_PartnerCardSendGift	460	Môn Khách Tặng Quà	Môn Khách				
LogWay_KinEncounter	461	Bang Hội Chiến	Bang Hội Chiến				
LogWay_PartnerCardVisitQuestion	462	Môn Khách	Phần thưởng Môn Khách trả lời câu hỏi	Phần thưởng Môn Khách trả lời câu hỏi			
LogWay_PartnerCardDevil	463	Môn Khách	Thưởng Tâm Ma Môn Khách	Thưởng Tâm Ma Môn Khách			
LogWay_PartnerCardTripFuben	464	Môn Khách	Môn Khách giúp đỡ phó bản	Môn Khách giúp đỡ phó bản			
LogWay_PartnerCardTripFubenKill	465	Môn Khách	Môn Khách giúp đỡ phó bản diệt	Môn Khách giúp đỡ phó bản diệt			
LogWay_PartnerCardTripFubenGate	466	Môn Khách	Phần thưởng Môn Khách giúp đỡ phó bản mở cửa	Phần thưởng Môn Khách giúp đỡ phó bản mở cửa			
LogWay_PartnerCardActAward	467	Môn Khách	Thưởng Phái Môn Khách	Thưởng Phái Môn Khách			
LogWay_ExchangeTicketAct	468	Đổi Phiếu					
LogWay_DismissPartnerCard	469	Môn Khách	Bỏ Môn Khách	Bỏ Môn Khách			
LogWay_PartnerCardActCost	470	Môn Khách	Phái Môn Khách tốn	Phái Môn Khách tốn			
LogWay_PartnerCardSendRepeat	471	Môn Khách	Môn Khách hủy lặp lại	Môn Khách hủy lặp lại			
LogWay_AlterWeddingPromise	472	Lời hứa	Sửa lời hứa kết hôn	Sửa lời hứa kết hôn			
LogWay_KinDinnerParty	473	Tiệc Bang Hội	Tiệc Bang Hội				
LogWay_JYFL	474	Kiếm Ý Phong Lưu	Kiếm Ý Phong Lưu				
LogWay_KinDinnerPartyHelp	475	Nhiệm vụ Giúp Đỡ Tiệc	Nhiệm vụ Giúp Đỡ Tiệc				
LogWay_IdipPartnerCard	476	Môn Khách	idip Môn Khách				
LogWay_IdiomsTask	477	Nhiệm Vụ Tình Duyên	Nhiệm Vụ Tơ Duyên				
LogWay_LoverTask	478	Nhiệm Vụ Tình Duyên	Nhiệm Vụ Tình Duyên				
LogWay_WaiYiTry	479	Vân Thường Phục	Vân Thường Phục				
LogWay_RentDrinkHouse	480	Tiệc Bang Hội	Tiệc Bang Hội				
LogWay_Toy	481	Đồ chơi	Đồ chơi				
LogWay_HousePeachWater	482	Tưới nước Cây Hoa Đào	Tưới nước Cây Hoa Đào				
LogWay_HousePeachFertilizer	483	Bón phân Cây Hoa Đào	Bón phân Cây Hoa Đào				
LogWay_HousePeachBringUp	484	Hộ trì Cây Hoa Đào	Hộ trì Cây Hoa Đào				
LogWay_HousePeachTree	485	Dưỡng thành Cây Hoa Đào	Dưỡng thành Cây Hoa Đào				
LogWay_DreamTask	486	Nhiệm Vụ Tình Duyên	Tình Duyên Mộng Cảnh				
LogWay_KinActivityRankAct	487	Hạng Năng Động Bang	Hạng Năng Động Bang				
LogWay_ShangShengDianActGold	488	Ta Muốn Đến Thịnh Điển	Ta muốn lợi tức hoạt động Thịnh Điển				
LogWay_MaterialCollectAct	489	Ủ rượu	Ủ rượu				
LogWay_ShangShengDianActItem	490	Ta Muốn Đến Thịnh Điển	Ta muốn Bạch Thư hoạt động Thịnh Điển				
LogWay_JiangHuShengDian	491	Hoạt động Giang Hồ Thịnh Điển	Hoạt động Giang Hồ Thịnh Điển				
LogWay_YinXingJiQingAct	492	Ngân Hạnh Gửi Tình	Ngân Hạnh Gửi Tình				
LogWay_RechargeSumOpenBox	493	Rương Phúc Lộc Lễ Hội	Rương Phúc Lộc Lễ Hội				
LogWay_AuctionGlobalBonus	494	Lợi tức toàn máy chủ	Lợi tức toàn máy chủ				
LogWay_PartnerCardCompose	495	Ghép Môn Khách	Ghép Môn Khách				
LogWay_KinDefendFuben	496	Bảo Vệ Quốc Gia	Bảo Vệ Quốc Gia				
LogWay_ToyDragon	500	Đạo Cụ Nối Rồng	Đạo Cụ Nối Rồng				
LogWay_RankBattleActAward	506	Võ Thần Điện	Thưởng tái lập Võ Thần Điện				
LogWay_XingYiDouZhuanAct	507	Tinh Di Đấu Chuyển	Tinh Di Đấu Chuyển				
LogWay_GetEventLoginAwards	508	Đăng Nhập Nhận Quà	Đăng Nhập Nhận Quà				
